,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Marinilabilia;Marinilabilia salmonicolor;,0,0.323339,0.955794,0.391061,0.708254,0.372578,0,0,0,0.061200,0,0.025368,0,0,0.071531,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella denticola;,0,0.323339,1.135006,0.363128,0.599292,0.223547,0.023474,0,0.099404,0.571195,0,0.101471,0.046083,0.182615,0.196710,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter;Zeaxanthinibacter enoshimensis;,0,0.293945,0.418160,0.195531,0.435849,0.149031,0,0,0,0.020400,0,0,0,0,0.089413,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus harenae;,0,0.264550,0.238949,0.027933,0.081722,0,0,0,0.099404,0.061200,0,0.050736,0,0,0.035765,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis;,0,0.235156,0.119474,0.307263,0.708254,0.372578,0,0,0,0.081599,0,0.684932,0.046083,0.438276,0.125179,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. HMSC073D09;,0,0.205761,0.836320,0.111732,0.381367,0,0,0,0,0,0,0,0,0.182615,0.089413,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. P5-92;,0,0.205761,0.836320,0.195531,1.089621,0.670641,0,0,0.198807,0.081599,0,0.608828,0,0.365230,0.232475,0,0,0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;Cytophagales bacterium CG18_big_fil_WC_8_21_14_2_50_42_9;,0,0.176367,0,0,0.095342,0,0,0,0,0.061200,0,0,0,0.182615,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae;,0,0.117578,0,0.055866,0.027241,0,0,0,0.099404,0,0,0,0,0.292184,0,0,0.102459,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri;,0,0.117578,0,0.391061,0.136203,0.521610,0,0,0,0.061200,0.128205,0.101471,0.092166,0,0,0,0.034153,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii;,0,0.088183,0,0.139665,0.095342,0.074516,0,0,0.198807,0,0,1.572806,0,0.438276,0.894135,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 376;,0,0.088183,0,0.055866,0.081722,0.074516,0,0,0,0,0,1.065449,0,0.438276,0.840486,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercorirosoris;,0,0.088183,0,0.251397,0.013620,0.372578,0.093897,0,0.099404,0,0.170940,0.126839,0.046083,0.292184,0,0,0,0
