"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"98","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ihuae;","0","0","0","0","1.282051","0","0","2.564103","0","1.941748","1.075269","1.282051","0","0","2.083333","0","0","0"
"100","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium sp. An169;","0","0","0","0","1.282051","0","0","0","0","0","0","1.282051","0","1.639344","0","0","0","0"
"104","Bacteria;NA;NA;NA;NA;NA;bacterium D16-50;","0","0","0","0","1.282051","0","0","0","0","0","0","2.564103","1.459854","0","0","0","0","0"
"110","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. CAG:309;","0","0","0","0","0","1.818182","0","0","0","0.970874","1.075269","0","0.729927","0","0","0","0","0"
"111","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnotalea;Lachnotalea sp. AF33-28;","0","0","0","0","0","1.818182","0","0","0","0","1.075269","0","1.459854","0","0","0","0","0"
"112","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;","0","0","0","0","0","1.818182","0","0","0","0","0","1.282051","0","3.278688","0","0","0","0"
"113","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:227;","0","0","0","0","0","0","12.5","0","0","0.970874","0","0","0","0","0","2.857143","0","0"
"127","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella massiliensis;","0","0","0","0","0","0","0","0","0","0.970874","0","1.282051","0","0","0","0","0","3.125"
"130","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium sp. An118;","0","0","0","0","0","0","0","0","0","0.970874","0","0","0","0","0","0","9.523809","3.125"
"64.1","Unclassified","65.178577","69.841266","64.615377","67.346944","64.102566","63.636361","58.333336","69.230766","66.153837","59.223297","61.290318","56.410259","62.043796","59.016399","68.749999","59.999998","66.666667","65.625"
