,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33
PL26,10.0,10.0,9.0,18.0,17.0,10.0,3.0,5.0,7.0
PL27,4.0,4.0,3.0,4.0,3.0,2.0,0.0,5.0,3.0
PL29,7.0,5.0,6.0,11.0,9.0,9.0,4.0,5.0,4.0
PL30,3.0,3.0,6.0,4.0,6.0,2.0,3.0,3.0,2.0
PL31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PL33,32.0,19.0,24.0,30.0,24.0,11.0,15.0,20.0,18.0
PL34,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PL35,14.0,8.0,9.0,10.0,13.0,8.0,7.0,9.0,6.0
PL37,2.0,4.0,7.0,6.0,8.0,3.0,7.0,5.0,6.0
PL4,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0
PL6,6.0,4.0,7.0,6.0,6.0,8.0,8.0,1.0,9.0
PL8,31.0,22.0,29.0,37.0,34.0,21.0,22.0,27.0,25.0
PL9,14.0,22.0,18.0,19.0,11.0,12.0,5.0,7.0,6.0
SLH,92.0,36.0,26.0,78.0,40.0,72.0,56.0,34.0,45.0
cohesin,1.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0
