"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"39","Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;NA;NA;NA;","0.009138","0.009499","0.008858","0.012197","0.010803","0.007265","0.008206","0.014158","0.010244","0.008953","0.010233","0.009204","0.008088","0.011272","0.005726","0.007788","0.01198","0.010748"
"40","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;NA;NA;NA;","0.008552","0.009932","0.010986","0.01238","0.007885","0.009324","0.00436","0.012741","0.006744","0.015486","0.010698","0.009475","0.012278","0.008281","0.012516","0.001513","0.003816","0.003998"
"41","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;NA;NA;NA;","0.008117","0.005909","0.009528","0.008625","0.005077","0.003995","0.006787","0.018553","0.008466","0.008805","0.008856","0.008527","0.006297","0.008164","0.005281","0.003328","0.012523","0.012333"
"42","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;NA;NA;NA;","0.007159","0.020397","0.007199","0.00781","0.005842","0.00584","0.005187","0.005933","0.006544","0.009038","0.007038","0.01023","0.008148","0.006183","0.006324","0.002641","0.006809","0.00419"
"43","Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA;","0.006212","0.004088","0.006993","0.006076","0.005738","0.005587","0.006846","0.020473","0.004771","0.005207","0.005472","0.006508","0.00831","0.007054","0.004457","0.002991","0.004824","0.015556"
"44","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;NA;NA;NA;","0.005953","0.008229","0.007155","0.007416","0.006145","0.006224","0.006195","0.024427","0.009543","0.008465","0.007426","0.007447","0.007405","0.006455","0.004841","0.005044","0.007095","0.007462"
"45","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;NA;NA;","0.005689","0.005165","0.005535","0.005582","0.004794","0.003948","0.005202","0.007973","0.008417","0.00549","0.006122","0.004778","0.00563","0.006312","0.004009","0.003719","0.008958","0.00676"
"46","Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;NA;NA;NA;","0.005416","0.005238","0.005263","0.007604","0.006465","0.003195","0.013599","0.010519","0.006362","0.00698","0.007206","0.004772","0.004986","0.006983","0.004127","0.00806","0.010445","0.00956"
"47","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;NA;","0.004941","0.010322","0.067683","0.025921","0.003011","0.003167","0.005908","0.009819","0.017994","0.005802","0.009782","0.020006","0.010733","0.052049","0.002821","0.001163","0.00882","0.008317"
"48","Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;NA;NA;NA;","0.004923","0.004206","0.004852","0.005182","0.00467","0.004133","0.004842","0.011169","0.007191","0.005674","0.00487","0.004799","0.005324","0.005089","0.003776","0.003925","0.007644","0.00617"
"49","Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;NA;NA;NA;","0.004668","0.004324","0.004725","0.005909","0.005437","0.005502","0.006224","0.036795","0.010304","0.006936","0.005035","0.004917","0.004823","0.008365","0.004605","0.003131","0.005926","0.004613"
"50","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;NA;NA;NA;","0.004458","0.003986","0.004755","0.00485","0.004086","0.004569","0.004904","0.007843","0.008622","0.005079","0.004325","0.004905","0.003366","0.004377","0.002786","0.001634","0.006485","0.0094"
"51","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;NA;NA;NA;","0.004379","0.0034","0.004523","0.00399","0.004867","0.003193","0.005901","0.010423","0.006599","0.004301","0.003891","0.00334","0.004076","0.004453","0.002859","0.003447","0.007268","0.008122"
"52","Bacteria;Firmicutes;Clostridia;Halanaerobiales;NA;NA;NA;","0.003949","0.004083","0.003967","0.004949","0.003878","0.004016","0.003261","0.003627","0.003324","0.00441","0.003304","0.004137","0.004252","0.003414","0.004666","0.001409","0.003938","0.00243"
"53","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;NA;NA;NA;","0.003914","0.004348","0.007059","0.004401","0.006715","0.003791","0.004437","0.00927","0.006676","0.003831","0.004653","0.004423","0.0042","0.004226","0.003704","0.002275","0.005178","0.005999"
"54","Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;NA;NA;NA;","0.003574","0.003826","0.0043","0.005135","0.004306","0.003029","0.004721","0.008232","0.005196","0.003991","0.003314","0.004528","0.005626","0.003787","0.004189","0.003084","0.00318","0.005098"
"55","Bacteria;Bacteroidetes;Saprospiria;Saprospirales;NA;NA;NA;","0.003534","0.004167","0.003481","0.003961","0.005134","0.001906","0.0025","0.004533","0.006373","0.00421","0.003996","0.003439","0.002874","0.004918","0.001652","0.002553","0.007477","0.00618"
"56","Eukaryota;Chytridiomycota;Neocallimastigomycetes;Neocallimastigales;NA;NA;NA;","0.003375","0.004672","0.002908","0.004144","0.003049","0.002023","0.000801","0.001282","0.002343","0.002877","0.003077","0.003638","0.003015","0.002203","0.002199","0.000119","0.000989","0.000436"
"57","Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;NA;NA;NA;","0.00325","0.003054","0.004169","0.003733","0.003468","0.002426","0.00586","0.009058","0.007801","0.002772","0.003465","0.002946","0.002654","0.00338","0.002427","0.004375","0.006793","0.006673"
"58","Eukaryota;Parabasalia;NA;Tritrichomonadida;NA;NA;NA;","0.003226","0.00413","0.009349","0.003704","0.000819","0.000216","0.000647","0.000709","0.000339","0.002845","0.010321","0.002043","0.000481","0.003791","0.000743","7.2e-05","0.001156","0.000244"
"59","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;NA;NA;NA;","0.003201","0.002176","0.00303","0.003153","0.002273","0.00192","0.001974","0.006108","0.00297","0.00199","0.002566","0.003018","0.002622","0.00284","0.002341","0.000803","0.003106","0.00236"
"60","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;NA;NA;NA;","0.003148","0.002776","0.002877","0.002849","0.002529","0.002898","0.004129","0.007128","0.004415","0.002615","0.002916","0.003551","0.002705","0.002396","0.0024","0.002944","0.003899","0.003883"
"61","Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;NA;NA;NA;","0.003002","0.003436","0.001695","0.004158","0.001158","0.002445","0.001963","0.001747","0.001981","0.003361","0.00208","0.005973","0.005455","0.002283","0.001338","0.000222","0.002056","0.001449"
"62","Bacteria;Cyanobacteria;NA;Nostocales;NA;NA;NA;","0.00271","0.001503","0.002776","0.001461","0.001537","0.002326","0.001191","0.002219","0.00114","0.000977","0.001444","0.001447","0.001898","0.002476","0.003012","0.00185","0.001587","0.000953"
"63","Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;NA;NA;","0.002673","0.002559","0.002058","0.001899","0.001683","0.002124","0.001449","0.001883","0.001975","0.001896","0.001297","0.002524","0.001901","0.00214","0.002076","0.000434","0.001625","0.001711"
"64","Eukaryota;Parabasalia;NA;Trichomonadida;NA;NA;NA;","0.002657","0.001996","0.008403","0.002999","0.000408","0.000176","0.000467","0.000545","0.000237","0.002362","0.008349","0.001676","0.000388","0.002249","0.000282","5.9e-05","0.001516","0.000203"
"65","Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;NA;NA;NA;","0.002479","0.002852","0.00201","0.001982","0.001796","0.001723","0.001121","0.001455","0.000752","0.002136","0.002517","0.002585","0.002655","0.001717","0.001834","0.000153","0.000915","0.000831"
"66","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;NA;NA;NA;","0.002472","0.001904","0.001957","0.002716","0.002526","0.004103","0.001415","0.001985","0.002235","0.001469","0.001923","0.002154","0.002542","0.001927","0.002706","0.000591","0.002313","0.001016"
"67","Bacteria;Chlamydiae;Chlamydiia;Chlamydiales;NA;NA;NA;","0.002442","0.003012","0.002851","0.003961","0.00262","0.001763","0.003287","0.005985","0.00297","0.003509","0.003042","0.003364","0.002901","0.004252","0.002642","0.008732","0.004863","0.003275"
"68","Bacteria;Cyanobacteria;NA;Synechococcales;NA;NA;NA;","0.002261","0.003363","0.003385","0.002402","0.001659","0.004206","0.004426","0.003686","0.005133","0.00248","0.001783","0.00192","0.002724","0.002161","0.002457","0.000663","0.002637","0.004026"
