"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"32","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;NA;NA;","0.036708","0.036526","0.030542","0.02671","0.039074","0.049054","0.018257","0.020831","0.01605","0.018828","0.018649","0.030083","0.030189","0.026322","0.041671","0.007116","0.015086","0.014267"
"33","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;","0.034039","0.040059","0.033296","0.043963","0.047913","0.01997","0.021724","0.050969","0.038012","0.040757","0.041388","0.030414","0.024683","0.044245","0.021688","0.036873","0.079086","0.048619"
"34","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;NA;","0.031373","0.035271","0.033717","0.035917","0.02733","0.027476","0.021033","0.037541","0.020155","0.029036","0.03355","0.035502","0.040603","0.029677","0.032834","0.007331","0.020443","0.018182"
"35","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;NA;NA;","0.026198","0.023341","0.026124","0.030281","0.020628","0.020856","0.019787","0.033026","0.01936","0.026401","0.0239","0.027267","0.034276","0.02171","0.024459","0.012125","0.015179","0.030542"
"36","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;NA;NA;","0.025735","0.023747","0.016333","0.016219","0.012305","0.018035","0.012735","0.014744","0.012938","0.013076","0.013509","0.026542","0.023998","0.016805","0.018111","0.002581","0.01612","0.009323"
"37","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA;","0.023328","0.024475","0.020344","0.023072","0.019394","0.025355","0.020184","0.025571","0.027543","0.024948","0.022124","0.03163","0.030639","0.020985","0.018105","0.004028","0.02036","0.014634"
"38","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;","0.022316","0.026733","0.022358","0.028825","0.029066","0.01239","0.015779","0.030169","0.026118","0.028733","0.027187","0.023963","0.017556","0.028186","0.014506","0.022432","0.051727","0.031241"
"39","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;","0.021687","0.019787","0.024013","0.022431","0.018063","0.018952","0.013309","0.014488","0.015326","0.021765","0.017065","0.024381","0.025106","0.023859","0.023163","0.007375","0.011463","0.00844"
"40","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;","0.021365","0.026688","0.014362","0.020083","0.023333","0.009685","0.012452","0.020165","0.023228","0.019994","0.024603","0.018725","0.012788","0.029036","0.010057","0.011672","0.042779","0.024526"
"41","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;","0.021002","0.027126","0.018649","0.02528","0.030566","0.010496","0.018015","0.024785","0.026121","0.025465","0.026445","0.021589","0.015888","0.031993","0.010904","0.017476","0.054785","0.034942"
"42","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;NA;NA;","0.020777","0.041594","0.015597","0.016821","0.022917","0.009978","0.010574","0.018658","0.021381","0.021046","0.026561","0.019263","0.014646","0.030779","0.007574","0.011694","0.030086","0.018314"
"43","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;NA;NA;","0.020222","0.023153","0.184916","0.023141","0.016763","0.021273","0.015136","0.397563","0.014751","0.419499","0.016125","0.036875","0.021665","0.015708","0.015611","0.005775","0.025493","0.010849"
"44","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;NA;NA;","0.020067","0.020683","0.018351","0.038006","0.027671","0.023908","0.042827","0.021718","0.028335","0.013391","0.020219","0.018845","0.023755","0.02886","0.028138","0.0035","0.01295","0.026083"
"45","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;NA;NA;","0.020064","0.015597","0.004374","0.050868","0.058117","0.000209","0.000379","0.00168","0.014867","0.022481","0.000538","0.000466","0.008637","0.029987","0.000697","0.000244","0.005968","0.033744"
"46","Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;NA;NA;","0.01928","0.036709","0.002259","0.034413","0.003418","0.005019","0.006176","0.038364","0.002739","0.003267","0.005115","0.017467","0.029539","0.00369","0.00236","0.000241","0.020533","0.004487"
