"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"58","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;NA;","0.031074","0.031748","0.028821","0.026634","0.023253","0.02553","0.01421","0.019909","0.014203","0.039162","0.029494","0.029608","0.047583","0.031399","0.034475","0.010441","0.01304","0.023035"
"59","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;","0.02942","0.031232","0.030621","0.035694","0.026443","0.038127","0.018386","0.022695","0.026098","0.029554","0.028239","0.031955","0.037431","0.026489","0.032689","0.006244","0.0267","0.022103"
"60","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;NA;","0.029019","0.033019","0.028164","0.035031","0.017207","0.019934","0.011151","0.011428","0.010335","0.033077","0.016345","0.027484","0.029623","0.023721","0.024896","0.003781","0.00662","0.005573"
"61","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;NA;","0.027742","0.015099","0.025629","0.025864","0.022046","0.018922","0.016408","0.020424","0.01812","0.041115","0.023393","0.030953","0.031409","0.022493","0.025663","0.0046","0.019114","0.011055"
"62","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;NA;","0.026841","0.033349","0.031317","0.024236","0.018399","0.058809","0.005901","0.005846","0.006368","0.015139","0.022414","0.022892","0.04345","0.024797","0.042475","0.001522","0.00336","0.004284"
"63","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;NA;","0.026193","0.006081","0.006827","0.005163","0.010216","0.004213","0.005816","0.008722","0.014232","0.005579","0.004423","0.006484","0.004403","0.005001","0.009966","0.011438","0.010413","0.042352"
"64","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA;","0.026182","0.135576","0.084318","0.037405","0.052834","0.09555","0.029456","0.042013","0.543486","0.017272","0.029753","0.043918","0.021981","0.031105","0.038968","0.021941","0.911394","0.017469"
"65","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;NA;","0.025946","0.03827","0.025668","0.021656","0.014639","0.025338","0.006691","0.004894","0.005838","0.022846","0.018058","0.019916","0.032948","0.01608","0.023584","0.002044","0.00379","0.004997"
"66","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Agathobaculum;NA;","0.02417","0.00787","0.012287","0.013092","0.012316","0.038167","0.017621","0.012864","0.010988","0.010674","0.025201","0.017331","0.060568","0.01306","0.008437","0.001994","0.016923","0.007626"
"67","Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA;","0.024082","0.020534","0.024153","0.027428","0.017974","0.01899","0.017857","0.030816","0.017906","0.024468","0.021589","0.024745","0.031938","0.019779","0.022866","0.011138","0.013249","0.02923"
"68","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;NA;","0.023983","0.022262","0.016473","0.016063","0.019895","0.027401","0.010187","0.010244","0.010435","0.016734","0.016527","0.018884","0.022521","0.013605","0.021066","0.004185","0.008466","0.007717"
"69","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;NA;","0.023793","0.035845","0.019906","0.023431","0.033049","0.011963","0.02054","0.033134","0.035815","0.032281","0.030571","0.025263","0.015915","0.043148","0.013938","0.019954","0.041327","0.036967"
"70","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;NA;","0.023761","0.027946","0.026049","0.027565","0.020423","0.020893","0.014555","0.02162","0.014172","0.02106","0.026246","0.026385","0.031723","0.021806","0.026703","0.00501","0.013454","0.012497"
"71","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;NA;","0.023552","0.032694","0.030008","0.043191","0.027585","0.018699","0.01457","0.028421","0.016532","0.026223","0.03034","0.027129","0.033824","0.029388","0.028819","0.336976","0.014318","0.006809"
"72","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;NA;","0.021442","0.020277","0.014008","0.012717","0.00906","0.012634","0.010081","0.01083","0.009808","0.009245","0.010352","0.021011","0.017351","0.013844","0.016107","0.00195","0.013284","0.007036"
"73","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerotignum;NA;","0.02143","0.014156","0.02157","0.023595","0.018619","0.015292","0.028026","0.038903","0.021577","0.017569","0.023932","0.011142","0.017081","0.022933","0.020007","0.019413","0.037222","0.01345"
"74","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;NA;","0.020777","0.041594","0.015597","0.016821","0.022917","0.009978","0.010574","0.018658","0.021381","0.021046","0.026561","0.019263","0.014646","0.030779","0.007574","0.011694","0.030086","0.018314"
"75","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Faecalicatena;NA;","0.020562","0.013328","0.017524","0.020024","0.020156","0.015375","0.009574","0.00952","0.009691","0.014737","0.014866","0.016955","0.020039","0.018816","0.018186","0.002966","0.004754","0.004714"
