RelTime,Delta,CO2,Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,BinTime,NormDelta,Slope
1.916666667,90.11,0.56,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,1.738461539,,
2.166666667,80.64,0.74,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,2.266666667,,
2.45,79.45,0.94,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,2.266666667,,
2.733333333,71.81,0.8,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,2.722222222,,
3.383333333,57.69,1.04,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,3.189393939,,
3.666666667,45.95,0.73,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,3.676666667,,
3.933333333,49.19,1.07,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,4.154166667,,
4.233333333,39.03,0.78,4146,P39,Spring,Female,Yes,Inulin,2,4061,AgStation,154.7,38,4.154166667,,
-0.1,-22.19,1.13,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,-0.188412698,,
0.616666667,302.86,0.84,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,0.34375,,
0.916666667,278.57,0.83,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,0.885416667,,
1.216666667,236.98,0.95,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,1.377272727,,
1.533333333,189.88,0.93,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,1.377272727,,
1.85,159.04,0.96,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,1.841666667,,
2.533333333,403.78,0.84,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,2.352777778,,
2.8,1402.7,1.01,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,2.773333333,,
3.166666667,2132.18,1.11,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,3.292424243,,
3.516666667,2515.93,0.89,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,3.292424243,,
3.833333333,2619.9,1.05,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,3.75625,,
4.166666667,2422.79,1.01,3981,S03,Summer,Female,No,Inulin,1,3961,AgStation,148,36,4.254545455,,
-0.183333333,-19.21,1.1,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,-0.188412698,,
0.166666667,42.26,0.94,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,0.34375,,
0.866666667,145.13,0.95,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,0.885416667,,
1.2,192.5,0.93,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,1.377272727,,
1.516666667,177.24,0.98,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,1.377272727,,
2.25,280.86,1,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,2.352777778,,
2.583333333,637.81,1.05,3991,S06,Summer,Male,No,Inulin,1,3948,Tumbledown,163,37,2.773333333,,
