OTU,Mean,SD,SE,Min,Max
Unclassified,57.39058965,6.384145983,1.548382836,43.809528,64.998622
Bacteria;Candidatus Wirthbacteria;NA;NA;NA;NA;NA;,2.51E-05,3.01E-05,7.29E-06,3.00E-06,0.000136
Bacteria;Candidatus Glassbacteria;NA;NA;NA;NA;NA;,2.48E-05,1.29E-05,3.14E-06,3.00E-06,5.00E-05
Bacteria;Candidatus Liptonbacteria;NA;NA;NA;NA;NA;,2.48E-05,2.71E-05,6.58E-06,2.00E-06,0.000109
Eukaryota;Imbricatea;NA;NA;NA;NA;NA;,2.41E-05,1.43E-05,3.47E-06,7.00E-06,5.90E-05
Bacteria;Candidatus Curtissbacteria;NA;NA;NA;NA;NA;,2.31E-05,1.43E-05,3.46E-06,3.00E-06,5.50E-05
Bacteria;Candidatus Yonathbacteria;NA;NA;NA;NA;NA;,2.29E-05,1.28E-05,3.10E-06,3.00E-06,4.60E-05
Bacteria;Candidatus Spechtbacteria;NA;NA;NA;NA;NA;,2.25E-05,2.34E-05,5.68E-06,0,7.30E-05
Bacteria;Candidatus Andersenbacteria;NA;NA;NA;NA;NA;,2.24E-05,1.53E-05,3.71E-06,2.00E-06,5.50E-05
Bacteria;Candidatus Lindowbacteria;NA;NA;NA;NA;NA;,2.12E-05,9.40E-06,2.28E-06,7.00E-06,3.20E-05
Bacteria;Candidatus Azambacteria;NA;NA;NA;NA;NA;,2.05E-05,1.98E-05,4.80E-06,3.00E-06,7.50E-05
Bacteria;Candidatus Mcinerneyibacteriota;NA;NA;NA;NA;NA;,2.05E-05,1.43E-05,3.47E-06,4.00E-06,5.90E-05
Archaea;Candidatus Marsarchaeota;NA;NA;NA;NA;NA;,2.03E-05,2.21E-05,5.36E-06,0,8.80E-05
Bacteria;Candidatus Blackburnbacteria;NA;NA;NA;NA;NA;,2.03E-05,1.57E-05,3.81E-06,0,6.40E-05
Bacteria;Candidatus Fraserbacteria;NA;NA;NA;NA;NA;,1.95E-05,3.89E-05,9.43E-06,0,0.000145
Bacteria;Candidatus Colwellbacteria;NA;NA;NA;NA;NA;,1.81E-05,1.24E-05,3.01E-06,4.00E-06,4.60E-05
Eukaryota;Cercozoa;NA;NA;NA;NA;NA;,1.56E-05,1.50E-05,3.64E-06,0,5.70E-05
Bacteria;Candidatus Terrybacteria;NA;NA;NA;NA;NA;,1.46E-05,1.37E-05,3.32E-06,0,4.80E-05
Bacteria;Candidatus Tagabacteria;NA;NA;NA;NA;NA;,1.14E-05,9.53E-06,2.31E-06,0,3.10E-05
Bacteria;Candidatus Cerribacteria;NA;NA;NA;NA;NA;,1.08E-05,1.08E-05,2.63E-06,0,4.30E-05
Archaea;Candidatus Verstraetearchaeota;NA;NA;NA;NA;NA;,1.02E-05,9.02E-06,2.19E-06,2.00E-06,3.90E-05
Bacteria;Candidatus Chisholmbacteria;NA;NA;NA;NA;NA;,9.47E-06,9.34E-06,2.27E-06,0,3.50E-05
Bacteria;Candidatus Adlerbacteria;NA;NA;NA;NA;NA;,8.94E-06,7.45E-06,1.81E-06,0,2.00E-05
Bacteria;Candidatus Jacksonbacteria;NA;NA;NA;NA;NA;,8.41E-06,7.11E-06,1.72E-06,0,2.30E-05
Bacteria;Candidatus Abawacabacteria;NA;NA;NA;NA;NA;,8.35E-06,1.72E-05,4.18E-06,0,6.40E-05
Archaea;Candidatus Diapherotrites;NA;NA;NA;NA;NA;,8.18E-06,6.71E-06,1.63E-06,0,2.60E-05
Eukaryota;Tubulinea;NA;NA;NA;NA;NA;,6.71E-06,7.30E-06,1.77E-06,0,2.40E-05
Bacteria;Candidatus Niyogibacteria;NA;NA;NA;NA;NA;,6.59E-06,9.51E-06,2.31E-06,0,3.70E-05
Archaea;Nanoarchaeota;NA;NA;NA;NA;NA;,6.24E-06,8.26E-06,2.00E-06,0,3.20E-05
Archaea;Candidatus Geothermarchaeota;NA;NA;NA;NA;NA;,6.18E-06,7.12E-06,1.73E-06,0,2.40E-05
Bacteria;candidate division CPR1;NA;NA;NA;NA;NA;,4.41E-06,5.73E-06,1.39E-06,0,2.20E-05
Archaea;Candidatus Odinarchaeota;NA;NA;NA;NA;NA;,3.41E-06,5.04E-06,1.22E-06,0,1.80E-05
Archaea;Candidatus Parvarchaeota;NA;NA;NA;NA;NA;,1.59E-06,5.10E-06,1.24E-06,0,2.10E-05
Bacteria;Candidatus Brennerbacteria;NA;NA;NA;NA;NA;,1.53E-06,3.18E-06,7.72E-07,0,1.10E-05
Archaea;Candidatus Hydrothermarchaeota;NA;NA;NA;NA;NA;,1.35E-06,2.52E-06,6.12E-07,0,9.00E-06
Archaea;Candidatus Nezhaarchaeota;NA;NA;NA;NA;NA;,1.29E-06,2.26E-06,5.47E-07,0,6.00E-06
