"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"39","Eukaryota;Mucoromycota;Mucoromycetes;NA;NA;NA;NA;","0.001639","0.001257","0.001642","0.000558","0.00089","0.000544","0.000717","0.000472","0.000419","0.000408","0.000972","0.000933","0.001039","0.001278","0.001864","0.000131","0.000251","0.000223"
"40","Bacteria;Chlorobi;Chlorobia;NA;NA;NA;NA;","0.001567","0.00219","0.001716","0.002661","0.001667","0.000942","0.000985","0.003735","0.002124","0.001723","0.002461","0.001631","0.001233","0.001944","0.00136","0.000725","0.003649","0.003178"
"41","Eukaryota;NA;Oomycota;NA;NA;NA;NA;","0.001447","0.002032","0.001769","0.000413","0.002793","0.000349","0.000735","0.000598","0.000362","0.000278","0.000385","0.001309","0.000283","0.002161","0.000467","0.000253","0.000254","0.000297"
"42","Bacteria;Lentisphaerae;Lentisphaeria;NA;NA;NA;NA;","0.00137","0.001564","0.005084","0.001602","0.002008","0.001681","0.001335","0.019225","0.000889","0.006334","0.001954","0.001318","0.001687","0.001093","0.001148","0.001656","0.001352","0.002814"
"43","Bacteria;Balneolaeota;Balneolia;NA;NA;NA;NA;","0.001248","0.000804","0.001187","0.001663","0.000914","0.00086","0.001062","0.002382","0.001328","0.002101","0.001937","0.000846","0.001013","0.001696","0.001172","0.000447","0.002817","0.001589"
"44","Bacteria;Nitrospirae;Nitrospira;NA;NA;NA;NA;","0.001234","0.002328","0.001379","0.001435","0.001422","0.001601","0.000908","0.002906","0.001331","0.001118","0.001713","0.002181","0.001837","0.001294","0.002194","0.000653","0.001429","0.001627"
"45","Bacteria;Acidobacteria;Acidobacteriia;NA;NA;NA;NA;","0.001143","0.001459","0.001174","0.001169","0.001437","0.000699","0.000963","0.003745","0.001816","0.002042","0.001136","0.00114","0.001224","0.001763","0.000831","0.000503","0.001086","0.001673"
"46","Bacteria;Planctomycetes;Candidatus Brocadiae;NA;NA;NA;NA;","0.001032","0.000817","0.00081","0.000965","0.000791","0.001472","0.000298","0.001563","0.000579","0.000486","0.00086","0.000939","0.000923","0.000679","0.000646","0.000119","0.000485","0.000363"
"47","Archaea;Euryarchaeota;Halobacteria;NA;NA;NA;NA;","0.000991","0.000846","0.000293","0.000435","0.000696","0.000389","0.00046","0.001572","0.000638","0.000335","0.000406","0.000836","0.000711","0.000762","0.00033","0.000259","0.000501","0.000744"
"48","Bacteria;Deferribacteres;Deferribacteres;NA;NA;NA;NA;","0.000958","0.000799","0.001003","0.001017","0.000679","0.000776","0.001636","0.002527","0.001229","0.00078","0.001063","0.001183","0.000864","0.000997","0.000866","0.000444","0.00098","0.0011"
"49","Bacteria;Aquificae;Aquificae;NA;NA;NA;NA;","0.000921","0.001035","0.001068","0.001088","0.001153","0.001193","0.000592","0.002644","0.001266","0.000824","0.000815","0.000939","0.000986","0.000859","0.000539","4e-04","0.000938","0.000974"
"50","Eukaryota;Mucoromycota;Glomeromycetes;NA;NA;NA;NA;","0.000866","0.00166","0.001695","0.00058","0.000938","0.000471","0.000695","0.000102","0.000222","0.000434","0.000996","0.001504","0.000855","0.001047","0.000721","5.6e-05","0.000305","9.4e-05"
"51","Eukaryota;Basidiomycota;Agaricomycetes;NA;NA;NA;NA;","0.000817","0.001186","0.001292","0.000561","0.000919","0.000328","0.00061","0.000237","0.000285","0.000322","0.000399","0.001077","0.000222","0.001361","0.000467","0.000231","0.000257","0.000164"
"52","Eukaryota;Ascomycota;Eurotiomycetes;NA;NA;NA;NA;","0.000808","0.001121","0.000836","0.000825","0.00077","0.000295","0.001037","0.000999","0.000462","0.000449","0.000888","0.000797","0.000567","0.001709","0.000459","2e-04","0.00063","0.000409"
"53","Eukaryota;Chlorophyta;Trebouxiophyceae;NA;NA;NA;NA;","0.000787","0.00148","0.001611","0.000542","0.000948","0.000394","0.000676","0.000777","0.000542","0.000237","0.000357","0.001285","0.000173","0.001428","0.000469","0.000116","0.000315","0.000297"
"54","Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;NA;","0.000771","0.000775","0.000793","0.000637","0.001095","0.000445","0.00061","0.000555","0.000328","0.000349","0.000605","0.000731","0.000387","0.000729","0.000384","0.000191","0.000373","0.00021"
"55","Eukaryota;Ascomycota;Saccharomycetes;NA;NA;NA;NA;","0.000699","0.000993","0.001095","0.000556","0.000606","0.000342","0.001","0.000663","0.000251","0.000427","0.000559","0.000876","0.000313","0.001319","0.000432","0.000231","0.000501","0.000272"
"56","Bacteria;Planctomycetes;Phycisphaerae;NA;NA;NA;NA;","0.000662","0.000833","0.001143","0.000789","0.000748","0.000535","0.000577","0.004552","0.001169","0.000844","0.000787","0.000472","0.000569","0.000595","0.000413","0.000756","0.000774","0.00102"
"57","Bacteria;Proteobacteria;Zetaproteobacteria;NA;NA;NA;NA;","0.000641","0.001173","0.000911","0.000882","0.001085","0.000359","0.000665","0.003094","0.000795","0.000659","0.000598","0.000858","0.000598","0.000511","0.000676","5e-04","0.002017","0.001306"
"58","Bacteria;Fibrobacteres;Chitinispirillia;NA;NA;NA;NA;","0.000634","0.000144","0.000149","0.000195","9.1e-05","0.000113","6.2e-05","5.2e-05","0.000225","0.000251","0.000252","0.000162","0.000305","0.000172","5.1e-05","2.8e-05","0.000263","0.000119"
"59","Eukaryota;Chytridiomycota;Chytridiomycetes;NA;NA;NA;NA;","0.000581","0.000801","0.00056","0.000221","0.000466","0.000213","0.000419","0.000435","0.00016","0.000112","0.00022","0.000554","0.000173","0.001521","0.000209","0.000144","0.000135","9.4e-05"
"60","Eukaryota;Ascomycota;Leotiomycetes;NA;NA;NA;NA;","0.000572","0.002679","0.001646","0.000406","0.000985","0.000675","0.000941","0.000299","0.000353","0.000192","0.000587","0.001429","0.000433","0.003523","0.000566","0.000319","0.000164","0.000143"
"61","Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;NA;","0.00056","0.00054","0.000587","0.000977","0.000657","0.00106","0.00064","0.000515","0.00057","0.000513","0.000538","0.000936","0.000506","0.000582","0.000333","2e-04","0.000373","0.000265"
"62","Eukaryota;Ascomycota;Sordariomycetes;NA;NA;NA;NA;","0.000553","0.000974","0.000727","0.000615","0.000867","0.000403","0.000338","0.000635","0.000282","0.001143","0.000402","0.000725","0.000695","0.000972","0.000416","6.9e-05","0.000854","0.000457"
"63","Bacteria;Chloroflexi;Chloroflexia;NA;NA;NA;NA;","0.000542","0.000406","0.000587","0.000931","0.000603","0.001062","0.000831","0.001445","0.001211","0.000443","0.000612","0.000641","0.000548","0.000716","0.000365","0.000575","0.000809","0.000765"
"64","Eukaryota;Apicomplexa;Conoidasida;NA;NA;NA;NA;","0.00053","0.000602","0.001007","0.000492","0.000498","0.000176","0.000342","0.000287","0.000125","0.000465","0.000559","0.001002","0.000195","0.000955","0.000547","5e-05","0.000809","0.000391"
"65","Bacteria;Gemmatimonadetes;Gemmatimonadetes;NA;NA;NA;NA;","0.000523","0.000843","0.00095","0.000713","0.000613","0.00034","0.000574","0.000952","0.00057","0.000481","0.000496","0.000843","0.00043","0.000637","0.000351","0.000119","0.001041","0.000649"
"66","Bacteria;Candidatus Peregrinibacteria;Candidatus Peribacteria;NA;NA;NA;NA;","0.000516","8.6e-05","0.000118","7.1e-05","0.000156","8.9e-05","9.9e-05","0.000385","0.000456","5.9e-05","9.4e-05","0.000229","0.000248","0.000364","7.2e-05","1.3e-05","0.000109","0.000402"
"67","Eukaryota;Euglenozoa;Kinetoplastea;NA;NA;NA;NA;","0.000505","0.000801","0.00088","0.000292","0.000477","0.000324","0.000393","0.000472","0.000202","0.000262","0.000413","0.000734","0.000142","0.000846","0.000276","0.000134","0.00034","0.000321"
"68","Eukaryota;Apicomplexa;Aconoidasida;NA;NA;NA;NA;","0.000477","0.001742","0.001778","0.000154","0.000797","0.000399","0.000647","0.000136","0.000143","9.4e-05","0.000266","0.001327","5.1e-05","0.001403","0.000558","0.000119","8.7e-05","7e-05"
"69","Eukaryota;Haptista;Haptophyta;NA;NA;NA;NA;","0.000456","0.000854","0.000823","0.000116","0.000545","0.000218","0.000327","4.9e-05","8e-05","5.5e-05","0.000154","0.000912","4.5e-05","0.000641","0.000193","3.4e-05","9e-05","2.8e-05"
"70","Bacteria;Kiritimatiellaeota;Kiritimatiellae;NA;NA;NA;NA;","0.000447","0.000901","0.000924","0.000613","0.000857","0.00038","0.000474","0.014365","0.000975","0.001688","0.001094","0.000927","0.000522","0.000607","0.000319","0.000659","0.000379","0.002057"
"71","Eukaryota;Evosea;Eumycetozoa;NA;NA;NA;NA;","0.000407","0.00072","0.000902","0.000245","0.000427","0.000181","0.000357","0.000237","0.000214","0.000141","0.000234","0.000551","8e-05","0.00111","0.000196","0.000253","0.000119","0.000112"
"72","Bacteria;Calditrichaeota;Calditrichae;NA;NA;NA;NA;","0.000343","0.001058","0.000477","0.000337","0.00053","0.000345","0.000408","0.000817","0.000262","0.000265","0.000329","0.000578","0.000244","0.000561","0.000137","0.000181","0.000379","0.000154"
"73","Eukaryota;Ciliophora;Spirotrichea;NA;NA;NA;NA;","0.00034","0.001037","0.000968","0.00019","0.00062","0.000279","0.000423","8.6e-05","6.8e-05","6.6e-05","0.00015","0.000873","2.7e-05","0.000691","0.000284","9.1e-05","4.8e-05","2.1e-05"
"74","Bacteria;Actinobacteria;Acidimicrobiia;NA;NA;NA;NA;","0.000333","0.000474","0.000543","0.000499","0.000579","0.00034","0.000294","0.001026","0.000539","0.000548","0.000294","0.000424","0.000403","0.000251","0.000485","9.4e-05","0.000312","0.000318"
"75","Bacteria;Candidatus Margulisbacteria;Candidatus Termititenacia;NA;NA;NA;NA;","0.000331","0.000175","0.000372","0.000264","0.000264","0.000173","0.000176","0.001892","0.000821","0.000392","0.000325","0.000283","0.00023","0.00023","0.000115","0.000991","0.000395","0.001219"
"76","Eukaryota;Chlorophyta;Chlorophyceae;NA;NA;NA;NA;","0.000326","0.000545","0.000823","0.000345","0.000394","0.000204","0.000346","0.000838","0.000316","0.000185","0.000371","0.000548","0.000105","0.000679","0.000172","9.1e-05","0.000286","0.000311"
"77","Bacteria;Chrysiogenetes;Chrysiogenetes;NA;NA;NA;NA;","0.000326","0.000178","0.000328","0.000409","0.000332","0.000199","0.000754","0.001199","0.000302","0.000217","0.000441","0.000334","0.000246","0.000251","0.000333","0.000141","0.00018","0.000388"
"78","Eukaryota;NA;Bigyra;NA;NA;NA;NA;","0.000326","0.000699","0.000955","0.000328","0.000445","0.000227","0.000415","0.000197","0.000145","0.000105","0.000262","0.000518","8.3e-05","0.000653","0.000247","9.1e-05","0.000549","0.00022"
"79","Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;NA;NA;NA;NA;","0.000312","0.000458","0.000512","0.000891","0.000247","0.000352","0.000301","0.00114","0.000499","0.000221","0.000479","0.000623","0.000566","0.000323","0.000193","0.000244","0.00087","0.000653"
"80","Bacteria;Verrucomicrobia;Spartobacteria;NA;NA;NA;NA;","0.000289","0.000241","0.001165","0.00034","0.000244","0.00011","0.00032","0.00053","0.000222","0.000251","0.000234","8.4e-05","0.000147","4.2e-05","4.3e-05","4.4e-05","0.000199","0.00022"
"81","Eukaryota;Chlorophyta;Mamiellophyceae;NA;NA;NA;NA;","0.000287","0.000414","0.000407","9.7e-05","0.000254","0.000108","0.000268","5.9e-05","7.7e-05","7.8e-05","0.000108","0.000364","7.7e-05","0.000507","7.5e-05","7.2e-05","7.4e-05","7e-05"
"82","Bacteria;Armatimonadetes;Armatimonadia;NA;NA;NA;NA;","0.000271","8.1e-05","5.3e-05","0.000145","9e-05","6.8e-05","2.2e-05","0.000148","0.000168","3.7e-05","9.8e-05","5.1e-05","8.8e-05","0.000276","5.9e-05","3e-06","5.8e-05","5.2e-05"
"83","Bacteria;Chloroflexi;Caldilineae;NA;NA;NA;NA;","0.000268","0.000186","0.000215","0.000451","0.000137","0.000173","0.00036","0.00016","0.000234","0.000292","0.000301","0.000256","0.00028","0.000264","0.000118","0.000119","0.000177","0.00015"
"84","Eukaryota;Rhodophyta;Bangiophyceae;NA;NA;NA;NA;","0.000266","0.000474","0.000596","0.000124","0.000342","0.000181","0.00032","0.000857","6.6e-05","0.00065","0.000213","0.00053","0.000292","0.000641","0.000169","1e-04","1e-04","0.000178"
"85","Archaea;Euryarchaeota;Methanococci;NA;NA;NA;NA;","0.000252","0.000147","0.000223","0.000154","0.000129","0.000155","0.000173","0.000663","0.000114","0.000219","0.000395","0.000223","0.000184","0.000427","0.000225","6.3e-05","0.000199","0.000108"
"86","Bacteria;Elusimicrobia;Endomicrobia;NA;NA;NA;NA;","0.000252","0.000519","0.000346","0.000421","0.000372","0.000164","8.5e-05","4.9e-05","0.00012","0.000256","0.000157","0.000536","0.000227","0.00018","7.5e-05","2.2e-05","0.000173","0.000157"
"87","Bacteria;Proteobacteria;Hydrogenophilalia;NA;NA;NA;NA;","0.000241","0.000445","0.000315","0.000266","0.000388","0.000202","0.000743","0.001088","0.000807","0.000465","0.000245","0.000217","0.000195","0.000138","0.000198","0.000688","0.000829","0.000531"
"88","Archaea;Euryarchaeota;Thermococci;NA;NA;NA;NA;","0.000227","0.000613","0.000517","0.000159","8.6e-05","0.000192","0.000154","9.2e-05","8.8e-05","0.000119","0.000231","0.00028","0.000155","0.000323","0.000877","1.3e-05","4.8e-05","8.7e-05"
"89","Bacteria;Candidatus Cryosericota;Candidatus Cryosericia;NA;NA;NA;NA;","0.000227","0.000296","0.00014","0.000266","0.000217","0.000244","0.000217","0.000179","0.00045","0.000144","0.000161","0.000283","0.000243","0.000168","0.000185","5.6e-05","0.000161","0.000398"
"90","Bacteria;Armatimonadetes;Chthonomonadetes;NA;NA;NA;NA;","0.00022","6.5e-05","0.000105","0.000219","4.9e-05","6.1e-05","0.00032","0.000783","0.000587","0.000262","0.000346","3e-05","0.000147","5.9e-05","4e-05","0.000409","0.000318","0.000262"
"91","Bacteria;Actinobacteria;Nitriliruptoria;NA;NA;NA;NA;","0.000218","0.000134","0.000171","0.000145","0.000229","0.000152","0.000173","0.000268","0.000131","0.000119","0.000248","0.000271","0.000181","0.00018","9.9e-05","5.6e-05","0.000183","0.000122"
"92","Bacteria;Candidatus Fermentibacteria;Candidatus Fermentibacteria (class);NA;NA;NA;NA;","0.000218","3.4e-05","0.000201","1.7e-05","5.2e-05","1.2e-05","2.9e-05","0.000801","4.3e-05","7.8e-05","6.3e-05","4.2e-05","5.1e-05","0.000147","3e-05","7.2e-05","3.2e-05","0.00014"
"93","Eukaryota;NA;Dinophyceae;NA;NA;NA;NA;","0.000206","0.000435","0.00025","0.000166","0.000107","8.7e-05","0.000235","0.000191","8.8e-05","3e-05","6.6e-05","0.000304","2.7e-05","0.00023","0.000142","6.9e-05","0.000202","0.000203"
"94","Bacteria;Candidatus Margulisbacteria;Candidatus Marinamargulisbacteria;NA;NA;NA;NA;","0.000206","5.8e-05","0.000385","0.000406","0.000525","0.000127","8.1e-05","8.6e-05","0.000137","6.8e-05","9.1e-05","0.000256","0.000121","0.000142","9.9e-05","5e-05","0.000112","0.000115"
"95","Bacteria;Acidobacteria;Holophagae;NA;NA;NA;NA;","0.000194","0.000155","0.000355","0.000176","0.000208","0.000204","8.5e-05","0.000539","0.000205","0.000381","0.000189","0.000172","0.00015","0.000201","0.000145","7.2e-05","0.000209","0.000265"
"96","Bacteria;Actinobacteria;Thermoleophilia;NA;NA;NA;NA;","0.000194","0.000296","0.000184","0.000411","0.000152","0.000244","0.000353","0.000533","0.000482","0.000146","0.000262","0.000217","0.000313","0.000272","9.1e-05","9.7e-05","0.000398","0.000304"
"97","Bacteria;Proteobacteria;Acidithiobacillia;NA;NA;NA;NA;","0.000183","0.00016","0.000359","0.000347","0.000159","9.6e-05","0.000467","0.00102","0.000359","0.000169","0.000455","0.000322","0.000182","0.000138","0.000142","0.000306","0.000389","0.000677"
"98","Bacteria;Actinobacteria;Rubrobacteria;NA;NA;NA;NA;","0.000181","0.000194","0.00021","0.000257","0.000257","0.000216","0.000504","0.001045","0.000861","0.000212","0.000231","0.000208","0.000193","0.000239","0.000102","8.4e-05","0.000228","0.000436"
"99","Archaea;Euryarchaeota;Candidatus Poseidoniia;NA;NA;NA;NA;","0.000181","6.8e-05","0.000105","8.1e-05","9.1e-05","6.1e-05","9.2e-05","8e-05","0.000225","9.4e-05","0.000231","3.9e-05","0.00011","0.000113","0.000185","4.7e-05","4.2e-05","0.000227"
