"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W20","S.W36","S.W37"
"45","Bacteria;Nitrospinae;NA;NA;NA;NA;NA;","0.000727","0.000576","0.000504","0.000485","0.000349","0.000506","0.000287","0.001054","0.000604","0.000543","0.000888","0.000427","0.000751","0.000431","0.000279","0.000197","0.000299","0.000377"
"46","Bacteria;Kiritimatiellaeota;NA;NA;NA;NA;NA;","0.000713","0.001304","0.001204","0.00082","0.001117","0.000506","0.000776","0.022781","0.001171","0.002642","0.001804","0.001128","0.000633","0.000846","0.00041","0.001069","0.000588","0.003041"
"47","Bacteria;candidate division Zixibacteria;NA;NA;NA;NA;NA;","0.000678","0.001176","0.000867","0.000953","0.001019","0.000525","0.000588","0.002768","0.000943","0.000773","0.000636","0.000779","0.000653","8e-04","0.000746","0.000597","0.000861","0.000821"
"48","Bacteria;Candidatus Margulisbacteria;NA;NA;NA;NA;NA;","0.000671","0.000409","0.001235","0.000879","0.001129","0.000741","0.000478","0.002114","0.001194","0.000614","0.000566","0.000764","0.000666","0.000582","0.000303","0.001109","0.000822","0.001515"
"49","Eukaryota;Ciliophora;NA;NA;NA;NA;NA;","0.000667","0.001658","0.00176","0.000475","0.001129","0.000452","0.000963","0.000311","0.000345","0.000153","0.000413","0.001342","8.8e-05","0.001634","0.000542","0.000216","0.000206","0.000101"
"50","Bacteria;Candidatus Rokubacteria;NA;NA;NA;NA;NA;","0.000639","0.000513","0.000512","0.00062","0.000931","0.00034","0.00064","0.001384","0.000924","0.001186","0.000874","0.000475","0.000845","0.00049","0.000201","0.000266","0.000536","0.000719"
"51","Eukaryota;Euglenozoa;NA;NA;NA;NA;NA;","0.000528","0.000849","0.000898","0.00033","0.000503","0.000349","0.000397","0.000509","0.000222","0.000267","0.000423","0.000749","0.000168","0.000884","0.000375","0.000134","0.000414","0.000573"
"52","Eukaryota;Microsporidia;NA;NA;NA;NA;NA;","0.000505","0.001425","0.001581","0.000209","0.000801","0.000361","0.000581","4.6e-05","0.000103","6.6e-05","0.00022","0.001143","1.8e-05","0.001051","0.000443","4.1e-05","8.7e-05","3.5e-05"
"53","Bacteria;Candidatus Fermentibacteria;NA;NA;NA;NA;NA;","0.000505","0.000207","0.00032","0.000266","0.000117","5.2e-05","6.2e-05","0.001042","0.000131","0.000292","0.000357","0.000159","0.00019","0.000394","5.1e-05","0.000156","0.000141","0.00022"
"54","Eukaryota;Haptista;NA;NA;NA;NA;NA;","0.000463","0.000859","0.000836","0.000116","0.000547","0.000218","0.000327","4.9e-05","8.3e-05","5.5e-05","0.000154","0.000912","4.5e-05","0.000645","0.000193","3.4e-05","9.6e-05","2.8e-05"
