"reads"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
6	"Eukaryota"	"Mucoromycota"	"Glomeromycetes"	"NA"	"NA"	"NA"	"NA"
14	"Eukaryota"	"Ascomycota"	"Leotiomycetes"	"NA"	"NA"	"NA"	"NA"
435	"Eukaryota"	"NA"	"Oomycota"	"NA"	"NA"	"NA"	"NA"
253	"Eukaryota"	"Chlorophyta"	"Trebouxiophyceae"	"NA"	"NA"	"NA"	"NA"
41	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"NA"	"NA"	"NA"	"NA"
33	"Eukaryota"	"Basidiomycota"	"Agaricomycetes"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Apicomplexa"	"Conoidasida"	"NA"	"NA"	"NA"	"NA"
5	"Bacteria"	"Planctomycetes"	"Candidatus Brocadiae"	"NA"	"NA"	"NA"	"NA"
80	"Bacteria"	"Kiritimatiellaeota"	"Kiritimatiellae"	"NA"	"NA"	"NA"	"NA"
11	"Eukaryota"	"Haptista"	"Haptophyta"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Ciliophora"	"Spirotrichea"	"NA"	"NA"	"NA"	"NA"
233	"Bacteria"	"Proteobacteria"	"Zetaproteobacteria"	"NA"	"NA"	"NA"	"NA"
12	"Archaea"	"Euryarchaeota"	"Halobacteria"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Ascomycota"	"Eurotiomycetes"	"NA"	"NA"	"NA"	"NA"
30	"Eukaryota"	"Euglenozoa"	"Kinetoplastea"	"NA"	"NA"	"NA"	"NA"
22	"Eukaryota"	"Ascomycota"	"Dothideomycetes"	"NA"	"NA"	"NA"	"NA"
11	"Eukaryota"	"Ascomycota"	"Sordariomycetes"	"NA"	"NA"	"NA"	"NA"
72	"Bacteria"	"Elusimicrobia"	"Elusimicrobia"	"NA"	"NA"	"NA"	"NA"
27	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"NA"	"NA"	"NA"	"NA"
15	"Eukaryota"	"Chytridiomycota"	"Chytridiomycetes"	"NA"	"NA"	"NA"	"NA"
6	"Eukaryota"	"Evosea"	"Eumycetozoa"	"NA"	"NA"	"NA"	"NA"
5	"Eukaryota"	"Chlorophyta"	"Chlorophyceae"	"NA"	"NA"	"NA"	"NA"
2	"Eukaryota"	"Rhodophyta"	"Bangiophyceae"	"NA"	"NA"	"NA"	"NA"
172	"Eukaryota"	"NA"	"Bigyra"	"NA"	"NA"	"NA"	"NA"
33	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	"NA"	"NA"	"NA"	"NA"
6	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"NA"	"NA"	"NA"	"NA"
1	"Eukaryota"	"Chlorophyta"	"Mamiellophyceae"	"NA"	"NA"	"NA"	"NA"
113	"Bacteria"	"Chloroflexi"	"Candidatus Thermofonsia"	"NA"	"NA"	"NA"	"NA"
7	"Eukaryota"	"Rhodophyta"	"Florideophyceae"	"NA"	"NA"	"NA"	"NA"
101	"Eukaryota"	"NA"	"Dinophyceae"	"NA"	"NA"	"NA"	"NA"
97	"Eukaryota"	"NA"	"Choanoflagellata"	"NA"	"NA"	"NA"	"NA"
7	"Eukaryota"	"Ciliophora"	"Oligohymenophorea"	"NA"	"NA"	"NA"	"NA"
8	"Archaea"	"Euryarchaeota"	"Thermococci"	"NA"	"NA"	"NA"	"NA"
2	"Bacteria"	"Actinobacteria"	"Nitriliruptoria"	"NA"	"NA"	"NA"	"NA"
