,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;NA;NA;NA;,0.001243,0.000859,0.000836,0.001863,0.001082,0.000912,0.001592,0.000379,0.000718,0.001686,0.001084,0.001826,0.001535,0.001428,0.000491,0.000097,0.000925,0.000360
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;NA;NA;NA;,0.001185,0.001213,0.001362,0.001613,0.001258,0.000818,0.000658,0.002271,0.001260,0.001513,0.001350,0.001685,0.001229,0.001416,0.000735,0.000316,0.002120,0.002249
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;NA;NA;NA;,0.001180,0.001160,0.004895,0.001385,0.001837,0.001371,0.000654,0.012476,0.000710,0.005665,0.001426,0.001204,0.001508,0.000922,0.000979,0.001313,0.001115,0.001599
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;NA;NA;NA;,0.001155,0.001027,0.001712,0.001143,0.001180,0.001076,0.000732,0.002176,0.002773,0.000755,0.001210,0.001017,0.000888,0.001839,0.002154,0.000303,0.001253,0.001802
Bacteria;Cyanobacteria;NA;Chroococcales;NA;NA;NA;,0.001127,0.000898,0.000731,0.001122,0.000714,0.000724,0.000434,0.001828,0.001288,0.000518,0.000713,0.001080,0.001141,0.000746,0.000472,0.000097,0.001339,0.000894
Bacteria;Nitrospirae;Nitrospira;Nitrospirales;NA;NA;NA;,0.001099,0.002260,0.001300,0.001285,0.001341,0.001444,0.000798,0.002808,0.001174,0.001031,0.001601,0.001962,0.001737,0.001144,0.002159,0.000466,0.001253,0.001470
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;NA;NA;NA;,0.001092,0.001168,0.001371,0.001252,0.000667,0.001128,0.001147,0.002225,0.001964,0.001050,0.001619,0.001107,0.000826,0.000875,0.000888,0.000856,0.001583,0.001145
Eukaryota;NA;Oomycota;Peronosporales;NA;NA;NA;,0.001065,0.001530,0.000854,0.000095,0.002214,0.000117,0.000232,0.000219,0.000137,0.000094,0.000217,0.000590,0.000043,0.001231,0.000241,0.000056,0.000067,0.000122
Bacteria;Planctomycetes;Candidatus Brocadiae;Candidatus Brocadiales;NA;NA;NA;,0.001014,0.000812,0.000801,0.000958,0.000752,0.001461,0.000283,0.001538,0.000559,0.000440,0.000836,0.000924,0.000906,0.000649,0.000625,0.000116,0.000456,0.000342
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;NA;NA;NA;,0.001009,0.000896,0.001287,0.001390,0.001378,0.000989,0.002276,0.002654,0.000978,0.001050,0.000836,0.001860,0.001265,0.001366,0.000764,0.000403,0.001288,0.001896
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;NA;NA;NA;,0.000995,0.001527,0.001410,0.001851,0.000799,0.000563,0.000956,0.001902,0.001317,0.001015,0.001692,0.001291,0.000714,0.001198,0.000995,0.000991,0.001670,0.001198
Bacteria;Thermotogae;Thermotogae;Thermotogales;NA;NA;NA;,0.000967,0.001399,0.001138,0.001081,0.001038,0.001081,0.000717,0.001341,0.001018,0.000856,0.000937,0.001222,0.001178,0.001357,0.001159,0.000413,0.000604,0.000880
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;NA;NA;NA;,0.000958,0.000799,0.001003,0.001017,0.000679,0.000776,0.001636,0.002527,0.001229,0.000780,0.001063,0.001183,0.000864,0.000997,0.000866,0.000444,0.000980,0.001100
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;NA;NA;,0.000942,0.001231,0.003026,0.001704,0.000684,0.000799,0.000327,0.002783,0.000932,0.001326,0.001070,0.002097,0.000545,0.001282,0.001153,0.000197,0.002274,0.001697
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;NA;NA;NA;,0.000935,0.001912,0.001099,0.000756,0.001046,0.000757,0.000816,0.002786,0.001046,0.000954,0.000738,0.000855,0.000580,0.000792,0.000274,0.000419,0.001221,0.000925
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;NA;NA;NA;,0.000926,0.001255,0.000788,0.000891,0.001144,0.000483,0.000776,0.002703,0.001380,0.001725,0.000825,0.000800,0.000933,0.001395,0.000679,0.000406,0.000954,0.001212
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;NA;NA;NA;,0.000884,0.001532,0.002715,0.001228,0.000938,0.000396,0.000684,0.005070,0.001129,0.000883,0.001381,0.001435,0.000900,0.000649,0.000550,0.000413,0.001221,0.001372
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;NA;NA;NA;,0.000877,0.000673,0.000889,0.001195,0.001097,0.001022,0.000937,0.002697,0.001411,0.000995,0.001388,0.001216,0.000840,0.000834,0.000931,0.000563,0.000992,0.001400
