KOID	P01	P07	P11	S07	S29	S34	W31	W32	W33	P03	P09	P12	S05	S08	S32	W20	W36	W37
K14392	3.75274E-05	2.7468E-05	3.41034E-05	2.98442E-05	4.49961E-05	3.51014E-05	3.18537E-05	9.33952E-05	3.82038E-05	6.39731E-05	7.07302E-05	2.68791E-05	2.91228E-05	4.72959E-05	3.69557E-05	6.17462E-05	3.02325E-05	7.075E-05
K14393	0	0	2.92315E-05	0	2.42287E-05	7.80031E-06	2.12358E-05	0	4.77548E-06	0	4.1606E-06	3.35989E-06	1.24812E-05	0	1.05588E-05	0	0	1.28636E-05
K14394	2.88672E-06	0.000247212	4.87192E-06	8.95325E-06	0	3.90016E-06	0	0	4.77548E-06	0	4.1606E-06	0	0	4.72959E-06	5.27939E-06	0	5.03875E-06	0
K14395	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14396	2.88672E-06	2.7468E-05	0	2.98442E-06	3.46124E-06	0	0	0	0	0	0	6.71978E-06	0	0	0	0	0	0
K14399	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	4.72959E-06	0	0	0	0
K14400	0	2.7468E-05	0	0	3.46124E-06	3.90016E-06	0	0	0	0	0	0	0	9.45917E-06	0	0	0	0
K14401	0	2.7468E-05	4.87192E-06	0	0	0	5.30895E-06	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14402	2.88672E-06	0	0	0	0	0	0	0	0	0	4.1606E-06	3.35989E-06	0	0	0	0	0	0
K14403	2.88672E-05	2.7468E-05	2.92315E-05	2.98442E-05	2.42287E-05	3.12012E-05	2.65448E-05	1.75116E-05	1.91019E-05	1.8278E-05	2.49636E-05	5.37582E-05	1.24812E-05	3.31071E-05	2.63969E-05	1.0291E-05	2.0155E-05	6.43182E-06
K14404	0	0	0	2.98442E-06	3.46124E-06	0	5.30895E-06	0	0	0	4.1606E-06	0	0	0	0	0	0	0
K14405	5.77344E-06	5.4936E-05	4.87192E-06	0	3.46124E-06	7.80031E-06	1.06179E-05	5.8372E-06	4.77548E-06	0	0	3.35989E-06	0	9.45917E-06	0	0	5.03875E-06	0
K14406	0	0	0	2.98442E-06	0	0	0	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14407	2.88672E-06	8.2404E-05	0	2.98442E-06	3.46124E-06	3.90016E-06	5.30895E-06	5.8372E-06	0	4.56951E-06	4.1606E-06	3.35989E-06	0	0	5.27939E-06	0	0	0
K14408	0	2.7468E-05	4.87192E-06	2.98442E-06	3.46124E-06	0	5.30895E-06	0	0	0	0	3.35989E-06	0	4.72959E-06	5.27939E-06	0	0	0
K14410	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14411	0	5.4936E-05	0	0	0	0	0	0	0	0	0	0	2.0802E-06	0	0	0	0	0
K14412	0	0	0	0	0	0	0	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14414	0	0	4.87192E-06	0	0	0	0	0	0	4.56951E-06	0	0	0	0	0	0	0	0
K14415	0.000375274	0.00013734	0.000399497	0.000379021	0.000318434	0.000312012	0.000329155	0.00039693	0.000305631	0.000383839	0.000312045	0.00030911	0.000366115	0.000373637	0.000364278	0.000442514	0.000342635	0.000263705
K14416	2.88672E-06	0	1.46158E-05	2.98442E-06	0	0	1.06179E-05	0	0	0	4.1606E-06	3.35989E-06	0	4.72959E-06	5.27939E-06	0	0	0
K14425	0	0	4.87192E-06	0	0	0	0	0	0	0	8.3212E-06	0	0	0	0	0	0	0
K14426	0	2.7468E-05	4.87192E-06	0	0	0	0	0	0	0	4.1606E-06	0	0	0	0	0	0	0
K14427	0	2.7468E-05	9.74383E-06	2.98442E-06	3.46124E-06	0	0	0	0	0	4.1606E-06	3.35989E-06	4.1604E-06	4.72959E-06	1.05588E-05	0	0	0
K14428	0	2.7468E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K14429	2.88672E-06	0	4.87192E-06	5.96883E-06	3.46124E-06	0	5.30895E-06	5.8372E-06	4.77548E-06	4.56951E-06	0	0	0	9.45917E-06	5.27939E-06	0	5.03875E-06	0
K14430	1.44336E-05	2.7468E-05	2.43596E-05	8.95325E-06	2.76899E-05	7.80031E-06	5.30895E-06	0	4.77548E-06	9.13901E-06	1.24818E-05	0	2.0802E-06	2.36479E-05	0	0	0	0
K14435	2.88672E-06	0	0	0	0	0	0	0	0	4.56951E-06	0	0	0	0	0	0	0	0
K14436	2.88672E-06	0	0	0	3.46124E-06	0	5.30895E-06	0	0	4.56951E-06	4.1606E-06	6.71978E-06	6.2406E-06	4.72959E-06	5.27939E-06	0	0	0
K14437	3.17539E-05	2.7468E-05	0.00012667	2.08909E-05	2.42287E-05	1.17005E-05	3.18537E-05	5.8372E-06	1.91019E-05	2.28475E-05	9.15332E-05	3.0239E-05	4.1604E-06	2.83775E-05	1.05588E-05	0	5.03875E-06	0
K14438	0	0	4.87192E-06	0	3.46124E-06	0	5.30895E-06	0	0	4.56951E-06	8.3212E-06	6.71978E-06	0	0	5.27939E-06	0	0	0
K14439	8.66016E-06	0	9.74383E-06	2.38753E-05	1.3845E-05	2.34009E-05	2.65448E-05	1.75116E-05	4.77548E-06	1.8278E-05	1.24818E-05	1.67994E-05	1.87218E-05	2.36479E-05	1.05588E-05	0	2.0155E-05	1.28636E-05
K14440	6.35078E-05	8.2404E-05	2.92315E-05	2.38753E-05	5.8841E-05	5.46022E-05	5.83985E-05	5.25348E-05	7.16322E-05	5.02646E-05	4.57666E-05	4.03187E-05	4.78446E-05	8.0403E-05	4.22351E-05	7.20372E-05	3.52712E-05	5.14546E-05
K14441	0.001033446	0.000439488	0.000974383	0.000990826	0.000989914	0.000986739	0.000955612	0.000840557	0.001026728	0.000904762	0.001077595	0.001031486	0.001081704	0.001092534	0.001055877	0.000761536	0.000982556	0.001086977
K14442	0	0	0	0	3.46124E-06	0	0	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14444	0	0	0	2.98442E-06	0	0	5.30895E-06	0	0	0	0	3.35989E-06	0	0	0	0	0	0
K14445	8.08281E-05	2.7468E-05	0.00012667	9.84857E-05	0.000103837	9.36037E-05	0.000122106	0.000175116	0.000100285	0.000114238	8.73726E-05	5.71181E-05	6.2406E-05	8.51325E-05	6.8632E-05	0.000164656	9.57362E-05	0.000154364
K14454	8.66016E-06	2.7468E-05	4.87192E-06	2.98442E-06	6.92248E-06	3.90016E-06	5.30895E-06	0	0	0	0	6.71978E-06	0	9.45917E-06	0	0	5.03875E-06	0
K14455	2.88672E-06	0	4.87192E-06	0	0	0	5.30895E-06	0	0	0	4.1606E-06	3.35989E-06	0	0	0	0	0	0
K14459	0	0	0	0	6.92248E-06	3.90016E-06	5.30895E-06	5.8372E-06	0	4.56951E-06	0	3.35989E-06	0	4.72959E-06	0	1.0291E-05	5.03875E-06	6.43182E-06
