A	B	C	D
09100	09105	00360	K03782
09100	09105	00360	K01426
09100	09105	00360	K10437
09100	09105	00360	K10775
09100	09105	00360	K13064
09100	09105	00360	K10797
09100	09105	00360	K05708
09100	09105	00360	K05709
09100	09105	00360	K05710
09100	09105	00360	K00529
09100	09105	00360	K05711
09100	09105	00360	K05712
09100	09105	00360	K05713
09100	09105	00360	K05714
09100	09105	00360	K02554
09100	09105	00360	K01666
09100	09105	00360	K04073
09100	09105	00380	K00453
09100	09105	00380	K00463
09100	09105	00380	K01432
09100	09105	00380	K14263
09100	09105	00380	K07130
09100	09105	00380	K00486
09100	09105	00380	K01556
09100	09105	00380	K16901
09100	09105	00380	K16902
09100	09105	00380	K00452
09100	09105	00380	K03392
09100	09105	00380	K23234
09100	09105	00380	K10217
09100	09105	00380	K15067
09100	09105	00380	K15791
09100	09105	00380	K00658
09100	09105	00380	K00382
09100	09105	00380	K00252
09100	09105	00380	K01692
09100	09105	00380	K01825
09100	09105	00380	K01782
09100	09105	00380	K07515
09100	09105	00380	K07514
09100	09105	00380	K07511
09100	09105	00380	K00022
09100	09105	00380	K00626
09100	09105	00380	K00816
09100	09105	00380	K00825
09100	09105	00380	K14264
09100	09105	00380	K01667
09100	09105	00380	K00502
09100	09105	00380	K01593
09100	09105	00380	K22433
09100	09105	00380	K24541
09100	09105	00380	K00274
09100	09105	00380	K00128
09100	09105	00380	K14085
09100	09105	00380	K00149
09100	09105	00380	K00157
09100	09105	00380	K00543
09100	09105	00380	K00669
09100	09105	00380	K22450
09100	09105	00380	K22588
09100	09105	00380	K13066
09100	09105	00380	K07408
09100	09105	00380	K07409
09100	09105	00380	K07410
09100	09105	00380	K14338
09100	09105	00380	K00562
09100	09105	00380	K11812
09100	09105	00380	K11813
09100	09105	00380	K11816
09100	09105	00380	K03334
09100	09105	00380	K14265
09100	09105	00380	K00838
09100	09105	00380	K16903
09100	09105	00380	K00837
09100	09105	00380	K23109
09100	09105	00380	K04103
09100	09105	00380	K11182
09100	09105	00380	K11868
09100	09105	00380	K11817
09100	09105	00380	K22417
09100	09105	00380	K01501
09100	09105	00380	K01721
09100	09105	00380	K20807
09100	09105	00380	K00466
09100	09105	00380	K01426
09100	09105	00380	K21801
09100	09105	00380	K11818
09100	09105	00380	K11819
09100	09105	00380	K11820
09100	09105	00380	K11821
09100	09105	00380	K01237
09100	09105	00380	K03781
09100	09105	00380	K03782
09100	09105	00380	K20219
09100	09105	00380	K20204
09100	09105	00380	K23947
09100	09105	00380	K23384
09100	09105	00400	K01626
09100	09105	00400	K03856
09100	09105	00400	K13853
09100	09105	00400	K13830
09100	09105	00400	K01735
09100	09105	00400	K13829
09100	09105	00400	K16305
09100	09105	00400	K16306
09100	09105	00400	K11646
09100	09105	00400	K03785
09100	09105	00400	K03786
09100	09105	00400	K13832
09100	09105	00400	K09484
09100	09105	00400	K00014
09100	09105	00400	K05358
09100	09105	00400	K05887
09100	09105	00400	K00891
09100	09105	00400	K00800
09100	09105	00400	K24018
09100	09105	00400	K01736
09100	09105	00400	K01656
09100	09105	00400	K13501
09100	09105	00400	K01657
09100	09105	00400	K01658
09100	09105	00400	K13503
09100	09105	00400	K00766
09100	09105	00400	K13497
09100	09105	00400	K01817
09100	09105	00400	K24017
09100	09105	00400	K01609
09100	09105	00400	K13498
09100	09105	00400	K01695
09100	09105	00400	K01696
09100	09105	00400	K06001
09100	09105	00400	K01694
09100	09105	00400	K01850
09100	09105	00400	K04092
09100	09105	00400	K14187
09100	09105	00400	K04093
09100	09105	00400	K14170
09100	09105	00400	K04516
09100	09105	00400	K06208
09100	09105	00400	K06209
09100	09105	00400	K04517
09100	09105	00400	K00211
09100	09105	00400	K00220
09100	09105	00400	K15226
09100	09105	00400	K15227
09100	09105	00400	K01713
09100	09105	00400	K04518
09100	09105	00400	K05359
09100	09105	00400	K14454
09100	09105	00400	K14455
09100	09105	00400	K00811
09100	09105	00400	K00812
09100	09105	00400	K00813
09100	09105	00400	K11358
09100	09105	00400	K15849
09100	09105	00400	K00815
09100	09105	00400	K00817
09100	09105	00400	K00832
09100	09105	00400	K00838
09100	09105	00400	K05821
09100	09105	00400	K00270
09100	09105	00400	K03334
09100	09105	00400	K00500
09100	09105	00400	K17748
09100	09105	00400	K17749
09100	09105	00400	K17750
09100	09105	00400	K18240
09100	09105	00400	K18239
09100	09106	00410	K01579
09100	09106	00410	K18933
09100	09106	00410	K18966
09100	09106	00410	K01580
09100	09106	00410	K05604
09100	09106	00410	K14755
09100	09106	00410	K08660
09100	09106	00410	K00823
09100	09106	00410	K07250
09100	09106	00410	K13524
09100	09106	00410	K15372
09100	09106	00410	K25571
09100	09106	00410	K12259
09100	09106	00410	K13366
09100	09106	00410	K17839
09100	09106	00410	K13367
09100	09106	00410	K00316
09100	09106	00410	K00276
09100	09106	00410	K00128
09100	09106	00410	K14085
09100	09106	00410	K00149
09100	09106	00410	K00129
09100	09106	00410	K00137
09100	09106	00410	K01918
09100	09106	00410	K13799
09100	09106	00410	K09722
09100	09106	00410	K00207
09100	09106	00410	K17722
09100	09106	00410	K17723
09100	09106	00410	K01464
09100	09106	00410	K01431
09100	09106	00410	K00822
09100	09106	00410	K23146
09100	09106	00410	K05605
09100	09106	00410	K01692
09100	09106	00410	K01825
09100	09106	00410	K01782
09100	09106	00410	K07515
09100	09106	00410	K07514
09100	09106	00410	K07511
09100	09106	00410	K14729
09100	09106	00410	K00248
09100	09106	00410	K00232
09100	09106	00410	K01578
09100	09106	00410	K00140
09100	09106	00430	K00456
09100	09106	00430	K01580
09100	09106	00430	K18966
09100	09106	00430	K10712
09100	09106	00430	K00485
09100	09106	00430	K00681
09100	09106	00430	K18592
09100	09106	00430	K00659
09100	09106	00430	K03119
09100	09106	00430	K03851
09100	09106	00430	K00259
09100	09106	00430	K19244
09100	09106	00430	K15372
09100	09106	00430	K15371
09100	09106	00430	K00260
09100	09106	00430	K07255
09100	09106	00430	K07256
09100	09106	00430	K03852
09100	09106	00430	K00625
09100	09106	00430	K13788
09100	09106	00430	K15024
09100	09106	00430	K00925
09100	09106	00430	K15373
09100	09106	00430	K19699
09100	09106	00430	K25261
09100	09106	00430	K25262
09100	09106	00440	K01841
09100	09106	00440	K23999
09100	09106	00440	K19669
09100	09106	00440	K21934
09100	09106	00440	K09459
09100	09106	00440	K05306
09100	09106	00440	K19670
09100	09106	00440	K00206
09100	09106	00440	K03430
09100	09106	00440	K09994
09100	09106	00440	K21195
09100	09106	00440	K21196
09100	09106	00440	K05915
09100	09106	00440	K00967
09100	09106	00440	K25574
09100	09106	00440	K00993
09100	09106	00440	K13644
09100	09106	00440	K00968
09100	09106	00440	K00994
09100	09106	00440	K12901
09100	09106	00440	K12904
09100	09106	00440	K12905
09100	09106	00440	K12906
09100	09106	00440	K12907
09100	09106	00440	K12908
09100	09106	00440	K12909
09100	09106	00440	K12910
09100	09106	00440	K20930
09100	09106	00440	K03823
09100	09106	00440	K12911
09100	09106	00440	K12912
09100	09106	00440	K12913
09100	09106	00440	K12914
09100	09106	00440	K12915
09100	09106	00440	K18049
09100	09106	00440	K23996
09100	09106	00440	K06164
09100	09106	00440	K06166
09100	09106	00440	K06165
09100	09106	00440	K05780
09100	09106	00440	K06162
09100	09106	00440	K06163
09100	09106	00440	K06167
09100	09106	00440	K20859
09100	09106	00450	K01739
09100	09106	00450	K00816
09100	09106	00450	K01760
09100	09106	00450	K14155
09100	09106	00450	K00548
09100	09106	00450	K24042
09100	09106	00450	K00549
09100	09106	00450	K01758
09100	09106	00450	K01761
09100	09106	00450	K01763
09100	09106	00450	K11717
09100	09106	00450	K08247
09100	09106	00450	K00384
09100	09106	00450	K22182
09100	09106	00450	K00562
09100	09106	00450	K17050
09100	09106	00450	K17051
09100	09106	00450	K17052
09100	09106	00450	K07309
09100	09106	00450	K07310
09100	09106	00450	K12527
09100	09106	00450	K12528
09100	09106	00450	K12529
09100	09106	00450	K13811
09100	09106	00450	K00955
09100	09106	00450	K00956
09100	09106	00450	K00957
09100	09106	00450	K00958
09100	09106	00450	K01008
09100	09106	00450	K10837
09100	09106	00450	K01042
09100	09106	00450	K03341
09100	09106	00450	K01874
09100	09106	00460	K13027
09100	09106	00460	K13029
09100	09106	00460	K13030
09100	09106	00460	K01188
09100	09106	00460	K05349
09100	09106	00460	K05350
09100	09106	00460	K08249
09100	09106	00460	K14984
09100	09106	00460	K13401
09100	09106	00460	K16265
09100	09106	00460	K16266
09100	09106	00460	K14577
09100	09106	00460	K13033
09100	09106	00460	K12153
09100	09106	00460	K00495
09100	09106	00460	K10566
09100	09106	00460	K22706
09100	09106	00460	K13031
09100	09106	00460	K13032
09100	09106	00460	K08248
09100	09106	00460	K20802
09100	09106	00460	K01501
09100	09106	00460	K13034
09100	09106	00460	K00681
09100	09106	00460	K18592
09100	09106	00460	K13035
09100	09106	00460	K01424
09100	09106	00460	K13051
09100	09106	00460	K01914
09100	09106	00460	K00600
09100	09106	00460	K10814
09100	09106	00460	K10815
09100	09106	00460	K10816
09100	09106	00460	K18282
09100	09106	00460	K10675
09100	09106	00460	K01455
09100	09106	00470	K01775
09100	09106	00470	K01798
09100	09106	00470	K00824
09100	09106	00470	K01921
09100	09106	00470	K03367
09100	09106	00470	K14188
09100	09106	00470	K25316
09100	09106	00470	K25317
09100	09106	00470	K01425
09100	09106	00470	K23265
09100	09106	00470	K05597
09100	09106	00470	K01776
09100	09106	00470	K01925
09100	09106	00470	K22210
09100	09106	00470	K01779
09100	09106	00470	K00272
09100	09106	00470	K12235
09100	09106	00470	K20498
09100	09106	00470	K01753
09100	09106	00470	K25364
09100	09106	00470	K19967
09100	09106	00470	K05396
09100	09106	00470	K01778
09100	09106	00470	K01586
09100	09106	00470	K12526
09100	09106	00470	K01844
09100	09106	00470	K18011
09100	09106	00470	K21672
09100	09106	00470	K23385
09100	09106	00470	K00273
09100	09106	00470	K19746
09100	09106	00470	K19744
09100	09106	00470	K25365
09100	09106	00470	K21898
09100	09106	00470	K17898
09100	09106	00470	K17899
09100	09106	00470	K01777
09100	09106	00470	K17851
09100	09106	00470	K10793
09100	09106	00470	K10794
09100	09106	00470	K12658
09100	09106	00470	K21060
09100	09106	00470	K22549
09100	09106	00470	K21061
09100	09106	00470	K22550
09100	09106	00470	K21062
09100	09106	00470	K13877
09100	09106	00470	K19588
09100	09106	00470	K01780
09100	09106	00470	K23120
09100	09106	00470	K23122
09100	09106	00470	K00285
09100	09106	00470	K18852
09100	09106	00480	K00681
09100	09106	00480	K18592
09100	09106	00480	K00682
09100	09106	00480	K22596
09100	09106	00480	K07232
09100	09106	00480	K01469
09100	09106	00480	K07160
09100	09106	00480	K23123
09100	09106	00480	K23124
09100	09106	00480	K11204
09100	09106	00480	K11205
09100	09106	00480	K06048
09100	09106	00480	K01919
09100	09106	00480	K01920
09100	09106	00480	K21456
09100	09106	00480	K03423
09100	09106	00480	K11142
09100	09106	00480	K01255
09100	09106	00480	K07751
09100	09106	00480	K11140
09100	09106	00480	K01256
09100	09106	00480	K01270
09100	09106	00480	K15428
09100	09106	00480	K00799
09100	09106	00480	K23790
09100	09106	00480	K13299
09100	09106	00480	K04097
09100	09106	00480	K21888
09100	09106	00480	K25210
09100	09106	00480	K20838
09100	09106	00480	K00383
09100	09106	00480	K00031
09100	09106	00480	K00032
09100	09106	00480	K00033
09100	09106	00480	K00036
09100	09106	00480	K05360
09100	09106	00480	K05361
09100	09106	00480	K00432
09100	09106	00480	K11188
09100	09106	00480	K24137
09100	09106	00480	K24136
09100	09106	00480	K24138
09100	09106	00480	K00310
09100	09106	00480	K01581
09100	09106	00480	K00797
09100	09106	00480	K24034
09100	09106	00480	K01917
09100	09106	00480	K01460
09100	09106	00480	K00802
09100	09106	00480	K01833
09100	09106	00480	K04283
09100	09106	00480	K00434
09100	09106	00480	K11185
09100	09106	00480	K11186
09100	09106	00480	K11207
09100	09106	00480	K10807
09100	09106	00480	K10808
09100	09107	00510	K12345
09100	09107	00510	K00902
09100	09107	00510	K01001
09100	09107	00510	K00729
09100	09107	00510	K07432
09100	09107	00510	K07441
09100	09107	00510	K00721
09100	09107	00510	K09658
09100	09107	00510	K09659
09100	09107	00510	K03842
09100	09107	00510	K03843
09100	09107	00510	K03844
09100	09107	00510	K03845
09100	09107	00510	K03846
09100	09107	00510	K03847
09100	09107	00510	K03848
09100	09107	00510	K03849
09100	09107	00510	K03850
09100	09107	00510	K07151
09100	09107	00510	K12666
09100	09107	00510	K12667
09100	09107	00510	K12668
09100	09107	00510	K12669
09100	09107	00510	K12670
09100	09107	00510	K00730
09100	09107	00510	K12691
09100	09107	00510	K07252
09100	09107	00510	K01228
09100	09107	00510	K05546
09100	09107	00510	K23741
09100	09107	00510	K01230
09100	09107	00510	K00726
09100	09107	00510	K01231
09100	09107	00510	K00736
09100	09107	00510	K00717
09100	09107	00510	K07966
09100	09107	00510	K07967
09100	09107	00510	K07968
09100	09107	00510	K00778
09100	09107	00510	K00779
09100	09107	00510	K00737
09100	09107	00510	K00738
09100	09107	00510	K00744
09100	09107	00510	K09661
09100	09107	00510	K13748
09100	09107	00513	K07432
09100	09107	00513	K07441
09100	09107	00513	K03842
09100	09107	00513	K03843
09100	09107	00513	K03844
09100	09107	00513	K03845
09100	09107	00513	K03846
09100	09107	00513	K03847
09100	09107	00513	K07151
09100	09107	00513	K12666
09100	09107	00513	K12667
09100	09107	00513	K12668
09100	09107	00513	K12669
09100	09107	00513	K12670
09100	09107	00513	K00730
09100	09107	00513	K12691
09100	09107	00513	K23741
09100	09107	00513	K01230
09100	09107	00513	K05528
09100	09107	00513	K05529
09100	09107	00513	K05530
09100	09107	00513	K05531
09100	09107	00513	K05532
09100	09107	00513	K05533
09100	09107	00513	K05534
09100	09107	00513	K05535
09100	09107	00513	K05536
09100	09107	00513	K05537
09100	09107	00513	K05538
09100	09107	00513	K00726
09100	09107	00513	K01231
09100	09107	00513	K00736
09100	09107	00513	K03714
09100	09107	00513	K00753
09100	09107	00513	K14413
09100	09107	00513	K14412
09100	09107	00513	K12373
09100	09107	00513	K00717
09100	09107	00513	K20730
09100	09107	00513	K14434
09100	09107	00513	K14459
09100	09107	00513	K14464
09100	09107	00513	K13748
09100	09107	00513	K00738
09100	09107	00513	K07966
09100	09107	00513	K07967
09100	09107	00513	K07968
09100	09107	00513	K00781
09100	09107	00513	K09656
09100	09107	00513	K09657
09100	09107	00513	K09672
09100	09107	00513	K09673
09100	09107	00512	K00710
09100	09107	00512	K00731
09100	09107	00512	K09653
09100	09107	00512	K00727
09100	09107	00512	K09662
09100	09107	00512	K09663
09100	09107	00512	K00780
09100	09107	00512	K03368
09100	09107	00512	K03479
09100	09107	00512	K06616
09100	09107	00512	K03373
09100	09107	00512	K03374
09100	09107	00512	K07970
09100	09107	00512	K00739
09100	09107	00512	K09905
09100	09107	00515	K00728
09100	09107	00515	K09666
09100	09107	00515	K07966
09100	09107	00515	K07967
09100	09107	00515	K07968
09100	09107	00515	K00781
09100	09107	00515	K00735
09100	09107	00515	K10157
09100	09107	00515	K09674
09100	09107	00515	K03663
09100	09107	00515	K07632
09100	09107	00515	K09661
09100	09107	00515	K18207
09100	09107	00515	K09654
09100	09107	00515	K17547
09100	09107	00515	K21031
09100	09107	00515	K19872
09100	09107	00515	K19873
09100	09107	00515	K21052
09100	09107	00515	K21032
09100	09107	00515	K09668
09100	09107	00514	K09667
09100	09107	00514	K18134
09100	09107	00514	K03691
09100	09107	00514	K05948
09100	09107	00514	K07966
09100	09107	00514	K07967
09100	09107	00514	K07968
09100	09107	00514	K00778
09100	09107	00514	K00779
09100	09107	00514	K00781
09100	09107	00514	K13675
09100	09107	00514	K13667
09100	09107	00514	K13676
09100	09107	00514	K23800
09100	09107	00514	K11703
09100	09107	00514	K13646
09100	09107	00514	K00728
09100	09107	00514	K10967
09100	09107	00514	K05538
09100	09107	00514	K10968
09100	09107	00514	K10969
09100	09107	00514	K10970
09100	09107	00514	K10971
09100	09107	00514	K20781
09100	09107	00514	K20782
09100	09107	00514	K20783
09100	09107	00514	K20784
09100	09107	00514	K00710
09100	09107	00514	K00731
09100	09107	00514	K09653
09100	09107	00514	K23840
09100	09107	00531	K01197
09100	09107	00531	K01195
09100	09107	00531	K01207
09100	09107	00531	K01136
09100	09107	00531	K01217
09100	09107	00531	K01135
09100	09107	00531	K07964
09100	09107	00531	K07965
09100	09107	00531	K01565
09100	09107	00531	K10532
09100	09107	00531	K01205
09100	09107	00531	K01132
09100	09107	00531	K12309
09100	09107	00531	K01137
09100	09107	00531	K12373
09100	09107	00563	K03857
09100	09107	00563	K03859
09100	09107	00563	K03858
09100	09107	00563	K03861
09100	09107	00563	K03860
09100	09107	00563	K11001
09100	09107	00563	K11002
09100	09107	00563	K09658
09100	09107	00563	K03434
09100	09107	00563	K05283
09100	09107	00563	K01127
09100	09107	00563	K05284
09100	09107	00563	K07541
09100	09107	00563	K07542
09100	09107	00563	K05285
09100	09107	00563	K05286
09100	09107	00563	K05288
09100	09107	00563	K05287
09100	09107	00563	K05310
09100	09107	00563	K05289
09100	09107	00563	K05290
09100	09107	00563	K05291
09100	09107	00563	K05292
09100	09107	00563	K05293
09100	09107	00563	K05294
09100	09107	00563	K23362
09100	09107	00563	K08098
09100	09107	00540	K00677
09100	09107	00540	K02535
09100	09107	00540	K16363
09100	09107	00540	K02536
09100	09107	00540	K03269
09100	09107	00540	K09949
09100	09107	00540	K00748
09100	09107	00540	K00912
09100	09107	00540	K06041
09100	09107	00540	K01627
09100	09107	00540	K03270
09100	09107	00540	K00979
09100	09107	00540	K02527
09100	09107	00540	K02517
09100	09107	00540	K02560
09100	09107	00540	K12979
09100	09107	00540	K09953
09100	09107	00540	K19803
09100	09107	00540	K03760
09100	09107	00540	K12975
09100	09107	00540	K12973
09100	09107	00540	K07264
09100	09107	00540	K12976
09100	09107	00540	K09778
09100	09107	00540	K12977
09100	09107	00540	K23082
09100	09107	00540	K23083
09100	09107	00540	K23159
09100	09107	00540	K11211
09100	09107	00540	K12974
09100	09107	00540	K03271
09100	09107	00540	K03272
09100	09107	00540	K21344
09100	09107	00540	K03273
09100	09107	00540	K21345
09100	09107	00540	K03274
09100	09107	00540	K07031
09100	09107	00540	K15669
09100	09107	00540	K02841
09100	09107	00540	K02843
09100	09107	00540	K02848
09100	09107	00540	K19353
09100	09107	00540	K02849
09100	09107	00540	K23160
09100	09107	00540	K19354
09100	09107	00540	K02850
09100	09107	00540	K12981
09100	09107	00540	K12986
09100	09107	00540	K02844
09100	09107	00540	K02840
09100	09107	00540	K03275
09100	09107	00540	K12983
09100	09107	00540	K03276
09100	09107	00540	K12985
09100	09107	00540	K23067
09100	09107	00540	K03277
09100	09107	00540	K03280
09100	09107	00540	K03278
09100	09107	00540	K03279
09100	09107	00540	K00713
09100	09107	00540	K24623
09100	09107	00540	K02847
09100	09107	00542	K02851
09100	09107	00542	K18788
09100	09107	00542	K23199
09100	09107	00542	K23197
09100	09107	00542	K23198
09100	09107	00542	K24658
09100	09107	00542	K12993
09100	09107	00542	K23073
09100	09107	00542	K23072
09100	09107	00542	K23202
09100	09107	00542	K23201
09100	09107	00542	K23102
09100	09107	00542	K23101
09100	09107	00542	K24906
09100	09107	00542	K23103
09100	09107	00542	K23189
09100	09107	00542	K23190
09100	09107	00542	K21586
09100	09107	00542	K23229
09100	09107	00542	K23230
09100	09107	00542	K20883
09100	09107	00542	K21365
09100	09107	00542	K21366
09100	09107	00542	K21367
09100	09107	00542	K21368
09100	09107	00542	K23251
09100	09107	00542	K23249
09100	09107	00542	K23250
09100	09107	00542	K23104
09100	09107	00542	K24649
09100	09107	00542	K23105
09100	09107	00542	K23191
09100	09107	00542	K23130
09100	09107	00542	K23131
09100	09107	00542	K23132
09100	09107	00541	K00963
09100	09107	00541	K01784
09100	09107	00541	K17716
09100	09107	00541	K01854
09100	09107	00541	K00012
09100	09107	00541	K08679
09100	09107	00541	K00973
09100	09107	00541	K01710
09100	09107	00541	K01790
09100	09107	00541	K23987
09100	09107	00541	K00067
09100	09107	00541	K19180
09100	09107	00541	K19652
09100	09107	00541	K20679
09100	09107	00541	K20680
09100	09107	00541	K20681
09100	09107	00541	K24249
09100	09107	00541	K24250
09100	09107	00541	K24251
09100	09107	00541	K02805
09100	09107	00541	K16704
09100	09107	00541	K20429
09100	09107	00541	K21379
09100	09107	00541	K13306
09100	09107	00541	K20678
09100	09107	00541	K00978
09100	09107	00541	K01709
09100	09107	00541	K12452
09100	09107	00541	K00523
09100	09107	00541	K12453
09100	09107	00541	K12454
09100	09107	00541	K12455
09100	09107	00541	K19632
09100	09107	00541	K15857
09100	09107	00541	K15858
09100	09107	00541	K01809
09100	09107	00541	K16011
09100	09107	00541	K01840
09100	09107	00541	K00971
09100	09107	00541	K01711
09100	09107	00541	K15856
09100	09107	00541	K22252
09100	09107	00541	K02377
09100	09107	00541	K13010
09100	09107	00541	K17939
09100	09107	00541	K00607
09100	09107	00541	K21131
09100	09107	00541	K21130
09100	09107	00541	K04042
09100	09107	00541	K01791
09100	09107	00541	K02472
09100	09107	00541	K08068
09100	09107	00541	K24257
09100	09107	00541	K01654
09100	09107	00541	K00983
09100	09107	00541	K15894
09100	09107	00541	K24336
09100	09107	00541	K24252
09100	09107	00541	K24256
09100	09107	00541	K19068
09100	09107	00541	K24258
09100	09107	00541	K24259
09100	09107	00541	K15895
09100	09107	00541	K15896
09100	09107	00541	K15897
09100	09107	00541	K15898
09100	09107	00541	K15899
09100	09107	00541	K24280
09100	09107	00541	K24281
09100	09107	00541	K24282
09100	09107	00541	K24283
09100	09107	00541	K24284
09100	09107	00541	K24285
09100	09107	00541	K15912
09100	09107	00541	K24300
09100	09107	00541	K24301
09100	09107	00541	K24302
09100	09107	00541	K24303
09100	09107	00541	K24304
09100	09107	00541	K24305
09100	09107	00541	K24306
09100	09107	00541	K24307
09100	09107	00541	K24310
09100	09107	00541	K24311
09100	09107	00541	K24312
09100	09107	00541	K13015
09100	09107	00541	K02474
09100	09107	00541	K22926
09100	09107	00541	K13016
09100	09107	00541	K13020
09100	09107	00541	K13017
09100	09107	00541	K13018
09100	09107	00541	K13019
09100	09107	00541	K24326
09100	09107	00541	K22925
09100	09107	00541	K02473
09100	09107	00541	K24327
09100	09107	00550	K00790
09100	09107	00550	K00075
09100	09107	00550	K01924
09100	09107	00550	K01925
09100	09107	00550	K23169
09100	09107	00550	K23170
09100	09107	00550	K01928
09100	09107	00550	K01921
09100	09107	00550	K01929
09100	09107	00550	K15792
09100	09107	00550	K01798
09100	09107	00550	K00887
09100	09107	00550	K00806
09100	09107	00550	K06153
09100	09107	00550	K19302
09100	09107	00550	K01000
09100	09107	00550	K02563
09100	09107	00550	K03814
09100	09107	00550	K05366
09100	09107	00550	K05365
09100	09107	00550	K05367
09100	09107	00550	K12555
09100	09107	00550	K18770
09100	09107	00550	K21464
09100	09107	00550	K05515
09100	09107	00550	K03587
09100	09107	00550	K18149
09100	09107	00550	K08724
09100	09107	00550	K08384
09100	09107	00550	K21465
09100	09107	00550	K21466
09100	09107	00550	K05364
09100	09107	00550	K07258
09100	09107	00550	K07259
09100	09107	00550	K21469
09100	09107	00550	K07260
09100	09107	00550	K18866
09100	09107	00550	K05362
09100	09107	00550	K23393
09100	09107	00550	K07009
09100	09107	00550	K11693
09100	09107	00550	K11694
09100	09107	00550	K11695
09100	09107	00550	K12551
09100	09107	00550	K04478
09100	09107	00550	K12552
09100	09107	00550	K12553
09100	09107	00550	K02545
09100	09107	00550	K05363
09100	09107	00550	K12554
09100	09107	00550	K03693
09100	09107	00550	K00687
09100	09107	00550	K12556
09100	09107	00552	K06153
09100	09107	00552	K19302
09100	09107	00552	K02851
09100	09107	00552	K05946
09100	09107	00552	K21285
09100	09107	00552	K09809
09100	09107	00552	K00712
09100	09107	00552	K03367
09100	09107	00552	K14188
09100	09107	00552	K03739
09100	09107	00552	K03740
09100	09107	00552	K01005
09100	09107	00552	K21592
09100	09107	00552	K18704
09100	09107	00552	K22709
09100	09107	00552	K21591
09100	09107	00552	K22710
09100	09107	00552	K22708
09100	09107	00552	K25669
09100	09107	00552	K03429
09100	09107	00552	K19005
09100	09107	00552	K25617
09100	09107	00552	K25619
09100	09107	00552	K19002
09100	09107	00552	K13678
09100	09107	00552	K25599
09100	09107	00552	K25618
09100	09107	00552	K25620
09100	09107	00552	K24300
09100	09107	00552	K25626
09100	09107	00552	K25627
09100	09107	00552	K25650
09100	09107	00552	K25651
09100	09107	00552	K25652
09100	09107	00552	K25653
09100	09107	00552	K25657
09100	09107	00552	K25658
09100	09107	00552	K07271
09100	09107	00552	K25654
09100	09107	00552	K25659
09100	09107	00552	K25660
09100	09107	00511	K01186
09100	09107	00511	K12357
09100	09107	00511	K23550
09100	09107	00511	K01190
09100	09107	00511	K12111
09100	09107	00511	K12112
09100	09107	00511	K12309
09100	09107	00511	K12373
09100	09107	00511	K14459
09100	09107	00511	K20730
09100	09107	00511	K01191
09100	09107	00511	K12311
09100	09107	00511	K12312
09100	09107	00511	K01192
09100	09107	00511	K01227
09100	09107	00511	K23989
09100	09107	00511	K13714
09100	09107	00511	K01206
09100	09107	00511	K15923
09100	09107	00511	K01444
09100	09107	00511	K01201
09100	09107	00511	K17108
09100	09107	00571	K08256
09100	09107	00571	K13668
09100	09107	00571	K22311
09100	09107	00571	K14335
09100	09107	00571	K13669
09100	09107	00571	K14340
09100	09107	00571	K14337
09100	09107	00571	K14339
09100	09107	00571	K13671
09100	09107	00571	K11387
09100	09107	00571	K13687
09100	09107	00571	K16647
09100	09107	00571	K16648
09100	09107	00571	K23176
09100	09107	00572	K02851
09100	09107	00572	K16870
09100	09107	00572	K16649
09100	09107	00572	K16650
09100	09107	00572	K13686
09100	09107	00572	K13687
09100	09107	00572	K16647
09100	09107	00572	K11385
09100	09107	00572	K11386
09100	09107	00572	K16648
09100	09107	00572	K18851
09100	09107	00572	K22902
09100	09108	00730	K03147
09100	09108	00730	K00877
09100	09108	00730	K00941
09100	09108	00730	K14153
09100	09108	00730	K21219
09100	09108	00730	K18278
09100	09108	00730	K03148
09100	09108	00730	K04487
09100	09108	00730	K03151
09100	09108	00730	K03150
09100	09108	00730	K03153
09100	09108	00730	K01662
09100	09108	00730	K03149
09100	09108	00730	K10810
09100	09108	00730	K03146
09100	09108	00730	K22699
09100	09108	00730	K00878
09100	09108	00730	K00788
09100	09108	00730	K21220
09100	09108	00730	K14154
09100	09108	00730	K00946
09100	09108	00730	K06928
09100	09108	00730	K06949
09100	09108	00730	K22911
09100	09108	00730	K01077
09100	09108	00730	K01078
09100	09108	00730	K23458
09100	09108	00730	K14394
09100	09108	00730	K07251
09100	09108	00730	K00949
09100	09108	00730	K00939
09100	09108	00730	K05307
09100	09108	00730	K10811
09100	09108	00730	K03707
09100	09108	00730	K20895
09100	09108	00730	K20896
09100	09108	00740	K01497
09100	09108	00740	K14652
09100	09108	00740	K08096
09100	09108	00740	K14653
09100	09108	00740	K01498
09100	09108	00740	K00082
09100	09108	00740	K11752
09100	09108	00740	K14654
09100	09108	00740	K14655
09100	09108	00740	K22912
09100	09108	00740	K20860
09100	09108	00740	K20861
09100	09108	00740	K20862
09100	09108	00740	K21063
09100	09108	00740	K21064
09100	09108	00740	K02858
09100	09108	00740	K00794
09100	09108	00740	K00793
09100	09108	00740	K00861
09100	09108	00740	K20884
09100	09108	00740	K11753
09100	09108	00740	K07732
09100	09108	00740	K01078
09100	09108	00740	K23458
09100	09108	00740	K01093
09100	09108	00740	K03788
09100	09108	00740	K09474
09100	09108	00740	K14379
09100	09108	00740	K14394
09100	09108	00740	K14410
09100	09108	00740	K00953
09100	09108	00740	K22949
09100	09108	00740	K14656
09100	09108	00740	K01513
09100	09108	00740	K18453
09100	09108	00740	K05901
