KOID	S07	S29	S34	S05	S08	S32
K00683	11.0	11.0	3.0	12.0	8.0	6.0
K00684	7.0	11.0	11.0	10.0	8.0	7.0
K00686	0.0	0.0	0.0	1.0	0.0	0.0
K00687	5.0	4.0	4.0	4.0	3.0	4.0
K00688	649.0	569.0	537.0	1079.0	416.0	388.0
K00690	15.0	12.0	13.0	24.0	11.0	10.0
K00691	34.0	25.0	23.0	46.0	33.0	25.0
K00692	1.0	0.0	0.0	1.0	1.0	0.0
K00693	58.0	76.0	46.0	89.0	64.0	54.0
K00694	2.0	2.0	2.0	2.0	3.0	3.0
K00695	0.0	0.0	0.0	1.0	0.0	0.0
K00696	1.0	0.0	1.0	1.0	0.0	0.0
K00697	5.0	9.0	5.0	2.0	7.0	9.0
K00700	577.0	439.0	431.0	843.0	396.0	357.0
K00703	385.0	275.0	291.0	546.0	233.0	182.0
K00705	441.0	383.0	373.0	670.0	316.0	282.0
K00709	3.0	5.0	1.0	3.0	2.0	2.0
K00710	3.0	1.0	2.0	2.0	1.0	1.0
K00712	38.0	19.0	20.0	29.0	17.0	18.0
K00718	9.0	6.0	6.0	9.0	5.0	6.0
K00721	50.0	49.0	41.0	66.0	44.0	39.0
K00725	0.0	0.0	0.0	1.0	0.0	0.0
K00728	22.0	14.0	11.0	39.0	14.0	12.0
K00729	4.0	3.0	4.0	4.0	2.0	1.0
K00737	5.0	3.0	3.0	5.0	5.0	5.0
K00748	114.0	100.0	66.0	108.0	71.0	56.0
K00750	1.0	1.0	0.0	0.0	1.0	0.0
K00752	1.0	1.0	1.0	1.0	1.0	0.0
K00753	1.0	0.0	0.0	0.0	0.0	0.0
K00754	26.0	32.0	23.0	38.0	23.0	13.0
K00756	118.0	69.0	52.0	159.0	75.0	38.0
K00757	137.0	145.0	109.0	185.0	92.0	84.0
K00758	27.0	7.0	1.0	20.0	12.0	3.0
K00759	129.0	104.0	68.0	134.0	87.0	79.0
K00760	238.0	190.0	179.0	338.0	154.0	130.0
K00761	219.0	194.0	164.0	310.0	141.0	125.0
K00762	232.0	207.0	192.0	339.0	139.0	142.0
K00763	241.0	225.0	233.0	406.0	160.0	150.0
K00764	398.0	339.0	302.0	577.0	275.0	234.0
K00765	145.0	119.0	131.0	233.0	92.0	81.0
K00766	84.0	71.0	59.0	118.0	50.0	39.0
K00767	132.0	122.0	82.0	156.0	87.0	82.0
K00768	135.0	113.0	131.0	197.0	92.0	83.0
K00769	10.0	5.0	3.0	1.0	5.0	5.0
K00771	3.0	2.0	1.0	5.0	1.0	1.0
K00772	26.0	23.0	10.0	13.0	13.0	8.0
K00773	378.0	283.0	268.0	541.0	217.0	197.0
K00777	0.0	0.0	3.0	0.0	1.0	0.0
K00782	2.0	3.0	3.0	4.0	1.0	5.0
K00783	221.0	188.0	157.0	312.0	137.0	110.0
