KOID	S07	S29	S34	S05	S08	S32
K09582	0.0	2.0	0.0	2.0	2.0	0.0
K09583	0.0	2.0	2.0	1.0	1.0	0.0
K09584	2.0	5.0	2.0	1.0	10.0	3.0
K09591	8.0	9.0	6.0	7.0	5.0	6.0
K09595	2.0	0.0	0.0	0.0	0.0	0.0
K09604	0.0	0.0	1.0	1.0	0.0	0.0
K09607	19.0	24.0	13.0	27.0	14.0	13.0
K09608	1.0	1.0	1.0	1.0	1.0	1.0
K09610	0.0	0.0	0.0	1.0	0.0	0.0
K09613	0.0	3.0	2.0	0.0	4.0	0.0
K09649	3.0	0.0	0.0	0.0	0.0	0.0
K09650	4.0	4.0	2.0	2.0	6.0	0.0
K09655	1.0	0.0	0.0	0.0	0.0	0.0
K09667	37.0	43.0	29.0	29.0	16.0	16.0
K09669	1.0	0.0	1.0	1.0	0.0	0.0
K09680	1.0	3.0	7.0	5.0	2.0	0.0
K09681	16.0	17.0	16.0	28.0	15.0	11.0
K09684	8.0	10.0	4.0	8.0	8.0	2.0
K09685	14.0	10.0	8.0	18.0	8.0	5.0
K09689	1.0	2.0	0.0	1.0	2.0	1.0
K09690	78.0	105.0	78.0	128.0	41.0	32.0
K09691	183.0	175.0	159.0	315.0	107.0	92.0
K09692	53.0	37.0	28.0	78.0	31.0	27.0
K09693	11.0	5.0	4.0	11.0	5.0	4.0
K09695	1.0	1.0	2.0	0.0	0.0	0.0
K09696	18.0	10.0	6.0	27.0	7.0	11.0
K09697	3.0	3.0	4.0	7.0	6.0	3.0
K09698	7.0	2.0	11.0	12.0	4.0	5.0
K09699	2.0	0.0	3.0	2.0	1.0	0.0
K09702	37.0	40.0	13.0	35.0	25.0	21.0
K09703	10.0	12.0	13.0	13.0	5.0	5.0
K09704	71.0	68.0	35.0	92.0	65.0	59.0
K09705	2.0	1.0	0.0	2.0	1.0	2.0
K09706	8.0	9.0	6.0	13.0	3.0	3.0
K09707	4.0	3.0	1.0	3.0	0.0	0.0
K09710	164.0	150.0	115.0	209.0	100.0	72.0
K09729	0.0	1.0	1.0	0.0	0.0	0.0
K09740	2.0	4.0	2.0	3.0	1.0	2.0
K09747	141.0	102.0	84.0	198.0	82.0	69.0
K09748	141.0	94.0	97.0	204.0	79.0	72.0
K09749	5.0	2.0	2.0	18.0	0.0	4.0
K09759	81.0	50.0	40.0	89.0	41.0	34.0
K09760	117.0	112.0	72.0	137.0	87.0	72.0
K09761	183.0	134.0	95.0	217.0	103.0	85.0
K09762	145.0	104.0	109.0	254.0	91.0	74.0
K09764	8.0	11.0	5.0	11.0	8.0	6.0
K09765	191.0	133.0	133.0	270.0	106.0	83.0
K09766	8.0	4.0	11.0	21.0	5.0	8.0
K09767	19.0	13.0	7.0	11.0	7.0	8.0
K09768	25.0	24.0	16.0	26.0	21.0	13.0
K09769	119.0	83.0	96.0	191.0	70.0	55.0
K09770	6.0	3.0	2.0	17.0	2.0	6.0
K09771	0.0	0.0	0.0	1.0	0.0	0.0
K09772	39.0	33.0	53.0	78.0	29.0	22.0
K09773	2.0	3.0	2.0	2.0	2.0	3.0
K09775	59.0	48.0	38.0	84.0	39.0	29.0
K09776	1.0	0.0	1.0	2.0	0.0	0.0
K09777	88.0	71.0	68.0	142.0	44.0	42.0
K09779	90.0	66.0	65.0	124.0	41.0	35.0
K09786	0.0	0.0	0.0	1.0	0.0	3.0
K09787	56.0	45.0	35.0	83.0	30.0	26.0
K09788	11.0	11.0	15.0	19.0	10.0	11.0
K09789	34.0	34.0	18.0	36.0	24.0	17.0
K09790	8.0	8.0	3.0	8.0	3.0	7.0
K09791	0.0	0.0	0.0	1.0	0.0	0.0
K09792	0.0	1.0	1.0	0.0	0.0	1.0
K09793	14.0	16.0	11.0	15.0	9.0	8.0
K09794	0.0	1.0	1.0	0.0	0.0	1.0
K09795	0.0	1.0	1.0	0.0	0.0	1.0
K09796	0.0	1.0	1.0	0.0	0.0	1.0
K09797	46.0	34.0	25.0	36.0	22.0	19.0
K09798	11.0	7.0	7.0	7.0	3.0	6.0
K09799	23.0	9.0	5.0	11.0	6.0	6.0
K09800	0.0	0.0	2.0	1.0	0.0	0.0
K09803	15.0	16.0	22.0	24.0	11.0	7.0
K09804	0.0	1.0	1.0	0.0	0.0	1.0
K09805	4.0	7.0	5.0	7.0	3.0	2.0
K09807	2.0	2.0	1.0	2.0	3.0	0.0
K09808	88.0	82.0	52.0	85.0	55.0	52.0
K09809	108.0	65.0	59.0	139.0	61.0	56.0
K09810	128.0	128.0	106.0	207.0	107.0	92.0
K09811	136.0	127.0	96.0	194.0	88.0	62.0
K09812	240.0	223.0	228.0	407.0	146.0	135.0
K09814	0.0	0.0	0.0	1.0	0.0	0.0
K09815	73.0	81.0	60.0	107.0	61.0	54.0
K09816	85.0	102.0	70.0	131.0	72.0	65.0
K09817	116.0	126.0	95.0	163.0	82.0	79.0
K09825	80.0	50.0	46.0	95.0	46.0	41.0
K09835	2.0	2.0	1.0	6.0	0.0	0.0
K09841	2.0	1.0	0.0	2.0	0.0	0.0
K09842	0.0	0.0	0.0	1.0	0.0	1.0
K09858	3.0	2.0	2.0	2.0	1.0	1.0
K09859	0.0	1.0	1.0	1.0	0.0	1.0
K09861	52.0	50.0	32.0	60.0	39.0	30.0
K09862	1.0	1.0	0.0	1.0	1.0	0.0
K09866	0.0	0.0	1.0	0.0	0.0	0.0
K09869	0.0	2.0	0.0	1.0	0.0	1.0
K09874	2.0	1.0	0.0	0.0	0.0	0.0
K09882	6.0	6.0	6.0	3.0	4.0	4.0
K09888	0.0	1.0	1.0	1.0	0.0	2.0
K09889	1.0	1.0	1.0	1.0	1.0	0.0
K09903	267.0	223.0	193.0	365.0	180.0	146.0
K09922	75.0	72.0	46.0	77.0	50.0	41.0
K09923	1.0	0.0	0.0	2.0	0.0	0.0
K09925	4.0	5.0	5.0	8.0	3.0	2.0
K09927	11.0	10.0	1.0	9.0	10.0	5.0
K09928	5.0	2.0	0.0	1.0	0.0	0.0
K09931	0.0	3.0	1.0	1.0	2.0	1.0
K09936	40.0	30.0	24.0	57.0	21.0	21.0
K09940	0.0	0.0	0.0	2.0	0.0	0.0
K09944	0.0	1.0	1.0	0.0	0.0	1.0
K09946	23.0	24.0	15.0	26.0	15.0	11.0
K09949	33.0	18.0	12.0	11.0	12.0	10.0
K09951	11.0	7.0	9.0	12.0	9.0	8.0
K09955	209.0	177.0	151.0	230.0	135.0	106.0
K09960	9.0	12.0	9.0	21.0	9.0	6.0
K09961	12.0	14.0	17.0	29.0	10.0	12.0
K09962	3.0	0.0	0.0	3.0	0.0	0.0
K09963	8.0	13.0	10.0	18.0	14.0	15.0
K09968	2.0	2.0	2.0	1.0	3.0	3.0
K09969	5.0	4.0	1.0	1.0	2.0	0.0
K09970	1.0	2.0	0.0	2.0	1.0	0.0
K09971	1.0	1.0	2.0	2.0	1.0	2.0
K09972	1.0	0.0	1.0	0.0	0.0	1.0
K09973	11.0	11.0	8.0	11.0	9.0	5.0
K09974	11.0	4.0	4.0	15.0	5.0	3.0
K09976	4.0	1.0	2.0	9.0	2.0	1.0
K09979	5.0	6.0	5.0	5.0	3.0	3.0
K09985	9.0	3.0	2.0	4.0	2.0	4.0
K09987	17.0	5.0	4.0	7.0	9.0	3.0
K09988	70.0	55.0	45.0	82.0	32.0	21.0
K09989	38.0	43.0	46.0	60.0	18.0	25.0
K09992	2.0	2.0	1.0	3.0	1.0	0.0
K09994	10.0	9.0	9.0	10.0	7.0	5.0
K09996	2.0	8.0	3.0	8.0	4.0	5.0
K09997	7.0	6.0	6.0	16.0	4.0	3.0
K09999	1.0	1.0	0.0	0.0	0.0	0.0
K10000	1.0	0.0	1.0	0.0	0.0	1.0
K10004	4.0	4.0	5.0	3.0	3.0	3.0
K10009	98.0	66.0	71.0	146.0	62.0	63.0
K10010	88.0	64.0	91.0	134.0	46.0	46.0
K10011	11.0	7.0	6.0	17.0	6.0	5.0
K10012	37.0	31.0	16.0	45.0	15.0	18.0
K10013	0.0	1.0	0.0	0.0	0.0	0.0
K10014	1.0	1.0	1.0	0.0	0.0	2.0
K10017	1.0	0.0	3.0	1.0	0.0	1.0
K10022	1.0	0.0	0.0	0.0	1.0	0.0
K10026	86.0	95.0	59.0	112.0	56.0	50.0
K10036	24.0	24.0	11.0	39.0	16.0	30.0
K10037	21.0	19.0	21.0	29.0	13.0	19.0
K10038	34.0	20.0	18.0	43.0	15.0	21.0
K10039	17.0	10.0	6.0	16.0	10.0	9.0
K10040	14.0	9.0	5.0	11.0	4.0	8.0
K10041	0.0	0.0	0.0	0.0	0.0	1.0
K10046	0.0	1.0	0.0	0.0	0.0	0.0
K10047	0.0	2.0	0.0	0.0	0.0	0.0
K10062	1.0	1.0	1.0	3.0	0.0	0.0
K10068	1.0	1.0	2.0	1.0	1.0	0.0
K10080	0.0	1.0	0.0	0.0	2.0	1.0
K10098	0.0	1.0	1.0	0.0	1.0	3.0
K10105	0.0	1.0	0.0	1.0	0.0	0.0
K10107	1.0	1.0	1.0	1.0	0.0	1.0
K10108	2.0	6.0	2.0	3.0	6.0	3.0
K10109	1.0	1.0	4.0	7.0	2.0	2.0
K10110	2.0	1.0	0.0	2.0	0.0	0.0
K10111	4.0	2.0	1.0	4.0	1.0	1.0
K10112	462.0	340.0	432.0	744.0	308.0	274.0
K10117	74.0	81.0	37.0	64.0	42.0	34.0
K10118	282.0	229.0	145.0	299.0	158.0	133.0
K10119	229.0	185.0	135.0	251.0	135.0	121.0
K10125	5.0	4.0	1.0	6.0	2.0	2.0
K10126	10.0	11.0	7.0	11.0	7.0	4.0
K10133	0.0	1.0	0.0	0.0	1.0	0.0
K10139	0.0	0.0	0.0	0.0	0.0	1.0
K10144	5.0	5.0	3.0	0.0	4.0	2.0
K10160	0.0	0.0	0.0	0.0	1.0	0.0
K10188	1.0	3.0	3.0	2.0	3.0	2.0
K10189	44.0	46.0	28.0	48.0	29.0	29.0
K10190	3.0	2.0	7.0	4.0	0.0	4.0
K10206	337.0	292.0	238.0	464.0	203.0	193.0
K10207	0.0	0.0	1.0	0.0	0.0	1.0
K10210	2.0	0.0	1.0	1.0	0.0	1.0
K10212	4.0	0.0	0.0	2.0	0.0	0.0
K10213	21.0	27.0	13.0	28.0	12.0	9.0
K10227	2.0	1.0	4.0	3.0	1.0	0.0
K10228	0.0	1.0	1.0	0.0	0.0	0.0
K10229	1.0	3.0	1.0	2.0	0.0	0.0
K10231	27.0	23.0	31.0	47.0	20.0	27.0
K10233	9.0	4.0	4.0	6.0	4.0	2.0
K10234	8.0	3.0	3.0	4.0	3.0	5.0
K10235	0.0	0.0	1.0	0.0	0.0	0.0
K10237	2.0	2.0	2.0	1.0	1.0	0.0
K10238	5.0	1.0	1.0	2.0	2.0	4.0
K10245	0.0	0.0	0.0	0.0	1.0	1.0
K10249	0.0	3.0	1.0	0.0	1.0	1.0
K10250	2.0	0.0	1.0	0.0	1.0	0.0
K10251	3.0	1.0	1.0	2.0	1.0	0.0
K10254	27.0	24.0	25.0	45.0	11.0	25.0
K10258	1.0	4.0	1.0	0.0	3.0	1.0
K10259	0.0	0.0	0.0	0.0	1.0	0.0
K10260	0.0	0.0	1.0	0.0	1.0	0.0
K10268	0.0	2.0	1.0	0.0	3.0	1.0
K10279	0.0	1.0	0.0	0.0	0.0	0.0
K10280	0.0	0.0	1.0	0.0	0.0	1.0
K10296	0.0	0.0	1.0	0.0	0.0	0.0
K10330	1.0	1.0	1.0	0.0	0.0	0.0
K10332	2.0	0.0	0.0	0.0	0.0	0.0
K10349	0.0	1.0	0.0	1.0	0.0	0.0
K10352	13.0	8.0	5.0	13.0	10.0	8.0
K10355	37.0	64.0	15.0	1.0	33.0	24.0
K10357	0.0	0.0	0.0	1.0	0.0	0.0
K10362	1.0	0.0	0.0	1.0	3.0	1.0
K10365	0.0	1.0	2.0	0.0	0.0	0.0
K10367	0.0	1.0	0.0	0.0	0.0	0.0
K10373	2.0	0.0	1.0	1.0	1.0	1.0
K10380	21.0	8.0	2.0	11.0	12.0	4.0
K10381	1.0	0.0	2.0	0.0	1.0	1.0
K10385	0.0	1.0	0.0	0.0	0.0	0.0
K10386	0.0	0.0	0.0	1.0	0.0	0.0
K10388	3.0	6.0	0.0	3.0	0.0	0.0
K10389	3.0	3.0	3.0	0.0	3.0	1.0
K10390	1.0	2.0	2.0	0.0	1.0	0.0
K10391	2.0	2.0	0.0	0.0	1.0	0.0
K10392	1.0	8.0	2.0	1.0	7.0	3.0
K10393	1.0	6.0	3.0	0.0	4.0	4.0
K10394	3.0	14.0	5.0	0.0	11.0	8.0
K10395	1.0	0.0	1.0	0.0	0.0	0.0
K10396	3.0	21.0	8.0	1.0	18.0	3.0
K10397	3.0	4.0	8.0	0.0	4.0	3.0
K10398	3.0	4.0	5.0	1.0	3.0	0.0
K10400	0.0	3.0	1.0	1.0	1.0	0.0
K10401	6.0	21.0	11.0	1.0	13.0	9.0
K10403	0.0	2.0	0.0	0.0	0.0	0.0
K10405	2.0	7.0	1.0	1.0	6.0	1.0
K10406	0.0	2.0	2.0	1.0	3.0	0.0
K10407	5.0	15.0	7.0	24.0	9.0	18.0
K10408	184.0	275.0	253.0	47.0	184.0	164.0
K10409	1.0	8.0	3.0	1.0	6.0	3.0
K10410	3.0	2.0	0.0	1.0	4.0	1.0
K10411	1.0	0.0	0.0	0.0	0.0	0.0
K10412	0.0	1.0	0.0	0.0	1.0	1.0
K10413	12.0	20.0	12.0	4.0	13.0	14.0
K10414	13.0	38.0	21.0	3.0	18.0	24.0
K10418	3.0	0.0	0.0	0.0	0.0	0.0
K10419	2.0	0.0	0.0	0.0	0.0	0.0
K10420	1.0	0.0	0.0	0.0	0.0	0.0
K10421	3.0	3.0	1.0	2.0	3.0	1.0
K10429	0.0	1.0	0.0	0.0	0.0	0.0
K10436	2.0	0.0	1.0	0.0	0.0	0.0
K10439	73.0	98.0	102.0	132.0	58.0	55.0
K10440	245.0	226.0	212.0	311.0	138.0	154.0
K10441	483.0	360.0	397.0	609.0	284.0	270.0
K10442	1.0	0.0	0.0	1.0	0.0	0.0
K10444	0.0	0.0	0.0	1.0	0.0	0.0
K10446	0.0	0.0	0.0	1.0	0.0	0.0
K10448	1.0	0.0	0.0	0.0	0.0	1.0
K10450	0.0	1.0	0.0	1.0	0.0	0.0
K10451	1.0	0.0	0.0	1.0	0.0	0.0
K10453	0.0	2.0	1.0	1.0	0.0	1.0
K10454	0.0	0.0	0.0	1.0	0.0	0.0
K10455	0.0	0.0	0.0	0.0	0.0	1.0
K10456	0.0	0.0	0.0	1.0	0.0	0.0
K10461	1.0	0.0	0.0	0.0	0.0	0.0
K10464	1.0	1.0	0.0	0.0	0.0	1.0
K10526	0.0	2.0	0.0	3.0	2.0	2.0
K10527	0.0	0.0	1.0	1.0	0.0	0.0
K10532	24.0	33.0	16.0	30.0	19.0	18.0
K10536	72.0	84.0	59.0	109.0	55.0	48.0
K10537	3.0	2.0	0.0	0.0	1.0	0.0
K10538	10.0	9.0	6.0	13.0	11.0	5.0
K10539	1.0	3.0	1.0	6.0	0.0	2.0
K10540	52.0	56.0	52.0	89.0	38.0	46.0
K10541	71.0	69.0	63.0	108.0	48.0	57.0
K10542	80.0	83.0	91.0	139.0	57.0	72.0
K10543	24.0	18.0	20.0	34.0	15.0	24.0
K10544	20.0	14.0	33.0	34.0	12.0	17.0
K10545	10.0	5.0	8.0	9.0	4.0	6.0
K10546	29.0	19.0	22.0	48.0	18.0	22.0
K10547	22.0	12.0	15.0	42.0	9.0	18.0
K10548	37.0	35.0	40.0	52.0	16.0	34.0
K10549	6.0	5.0	3.0	5.0	3.0	2.0
K10550	3.0	2.0	6.0	8.0	2.0	2.0
K10551	2.0	2.0	3.0	3.0	3.0	1.0
K10552	6.0	2.0	1.0	12.0	2.0	4.0
K10553	4.0	1.0	1.0	5.0	0.0	0.0
K10555	6.0	7.0	10.0	11.0	3.0	7.0
K10556	6.0	6.0	10.0	7.0	4.0	2.0
K10557	3.0	6.0	3.0	7.0	2.0	5.0
K10558	3.0	5.0	7.0	8.0	3.0	4.0
K10559	6.0	4.0	7.0	14.0	2.0	3.0
K10560	4.0	5.0	3.0	6.0	3.0	1.0
K10561	9.0	7.0	8.0	13.0	4.0	2.0
K10562	2.0	7.0	1.0	2.0	4.0	4.0
K10563	37.0	20.0	17.0	43.0	24.0	14.0
K10567	1.0	0.0	1.0	0.0	0.0	0.0
K10572	1.0	0.0	0.0	0.0	0.0	0.0
K10573	5.0	3.0	2.0	0.0	2.0	0.0
K10575	0.0	2.0	0.0	0.0	1.0	0.0
K10577	1.0	1.0	2.0	0.0	2.0	1.0
K10578	2.0	0.0	0.0	0.0	0.0	0.0
K10579	1.0	5.0	0.0	0.0	1.0	1.0
K10580	1.0	4.0	2.0	1.0	3.0	2.0
K10581	0.0	2.0	1.0	0.0	3.0	2.0
K10583	1.0	0.0	0.0	0.0	0.0	0.0
K10586	0.0	2.0	0.0	0.0	2.0	0.0
K10587	8.0	11.0	2.0	0.0	8.0	4.0
K10588	1.0	0.0	0.0	0.0	0.0	1.0
K10590	2.0	0.0	0.0	0.0	0.0	0.0
K10591	2.0	8.0	1.0	0.0	3.0	0.0
K10592	2.0	20.0	3.0	1.0	7.0	9.0
K10593	0.0	1.0	0.0	0.0	0.0	0.0
K10594	12.0	11.0	6.0	15.0	8.0	3.0
K10595	24.0	18.0	22.0	104.0	44.0	20.0
K10598	0.0	1.0	0.0	2.0	0.0	1.0
K10599	0.0	2.0	0.0	0.0	0.0	0.0
K10601	1.0	1.0	1.0	0.0	1.0	1.0
K10608	1.0	0.0	0.0	0.0	0.0	0.0
K10609	0.0	7.0	0.0	0.0	4.0	0.0
K10610	1.0	4.0	1.0	0.0	3.0	0.0
K10614	5.0	6.0	3.0	15.0	5.0	10.0
K10615	15.0	13.0	13.0	61.0	10.0	18.0
K10632	1.0	1.0	0.0	0.0	2.0	1.0
K10636	1.0	0.0	0.0	0.0	0.0	0.0
K10643	1.0	2.0	1.0	0.0	2.0	1.0
K10644	0.0	2.0	1.0	0.0	1.0	1.0
K10655	0.0	3.0	0.0	0.0	1.0	1.0
K10663	0.0	1.0	0.0	0.0	0.0	0.0
K10666	0.0	3.0	0.0	0.0	2.0	0.0
K10669	0.0	1.0	0.0	0.0	2.0	1.0
K10673	0.0	1.0	0.0	0.0	0.0	0.0
K10678	22.0	20.0	14.0	31.0	21.0	12.0
K10679	1.0	1.0	0.0	1.0	0.0	1.0
K10680	13.0	14.0	4.0	16.0	6.0	8.0
K10681	19.0	21.0	19.0	50.0	9.0	7.0
K10682	33.0	14.0	20.0	25.0	13.0	13.0
K10684	0.0	3.0	1.0	0.0	1.0	1.0
K10685	6.0	1.0	1.0	4.0	3.0	1.0
K10686	5.0	11.0	5.0	4.0	6.0	5.0
K10687	1.0	0.0	0.0	0.0	0.0	0.0
K10688	0.0	2.0	0.0	0.0	0.0	0.0
K10689	2.0	0.0	1.0	0.0	0.0	0.0
K10691	0.0	5.0	0.0	0.0	5.0	1.0
K10696	1.0	1.0	0.0	0.0	1.0	0.0
K10697	24.0	13.0	7.0	20.0	6.0	8.0
K10698	0.0	0.0	0.0	0.0	1.0	1.0
K10699	2.0	1.0	1.0	1.0	0.0	1.0
K10703	1.0	0.0	1.0	0.0	0.0	0.0
K10705	0.0	0.0	0.0	0.0	1.0	0.0
K10706	5.0	5.0	5.0	3.0	4.0	4.0
K10708	18.0	17.0	25.0	33.0	17.0	18.0
K10709	11.0	15.0	13.0	20.0	8.0	6.0
K10710	27.0	27.0	29.0	59.0	26.0	27.0
K10711	14.0	11.0	7.0	12.0	9.0	9.0
K10716	39.0	30.0	33.0	43.0	26.0	29.0
K10717	0.0	1.0	1.0	0.0	0.0	1.0
K10726	0.0	0.0	1.0	0.0	0.0	0.0
K10730	0.0	0.0	0.0	1.0	0.0	0.0
K10737	0.0	4.0	3.0	1.0	4.0	3.0
K10738	2.0	10.0	0.0	0.0	4.0	3.0
K10739	0.0	0.0	0.0	0.0	0.0	1.0
K10742	1.0	3.0	4.0	10.0	7.0	3.0
K10743	1.0	1.0	1.0	0.0	1.0	0.0
K10746	1.0	3.0	2.0	1.0	4.0	1.0
K10747	4.0	10.0	5.0	7.0	4.0	4.0
K10752	2.0	7.0	1.0	0.0	6.0	2.0
K10753	2.0	2.0	1.0	0.0	2.0	1.0
K10754	3.0	3.0	1.0	1.0	3.0	4.0
K10755	3.0	9.0	1.0	0.0	6.0	2.0
K10756	3.0	11.0	1.0	0.0	5.0	4.0
K10761	3.0	5.0	3.0	7.0	3.0	2.0
K10762	1.0	0.0	1.0	2.0	0.0	1.0
K10763	1.0	1.0	0.0	1.0	0.0	0.0
K10764	1.0	1.0	3.0	7.0	1.0	3.0
K10770	1.0	1.0	1.0	0.0	2.0	0.0
K10771	2.0	2.0	1.0	2.0	3.0	0.0
K10773	285.0	231.0	190.0	398.0	180.0	148.0
K10775	1.0	0.0	0.0	0.0	0.0	0.0
K10778	0.0	2.0	3.0	2.0	4.0	2.0
K10780	0.0	0.0	0.0	0.0	2.0	0.0
K10781	5.0	0.0	2.0	3.0	1.0	0.0
K10782	6.0	6.0	4.0	6.0	3.0	4.0
K10797	83.0	79.0	96.0	177.0	47.0	54.0
K10798	0.0	8.0	3.0	3.0	3.0	0.0
K10799	10.0	2.0	2.0	4.0	2.0	0.0
K10800	4.0	2.0	2.0	2.0	2.0	1.0
K10804	12.0	7.0	2.0	12.0	6.0	11.0
K10806	3.0	3.0	4.0	3.0	3.0	3.0
K10807	0.0	0.0	0.0	1.0	0.0	0.0
K10810	8.0	4.0	5.0	5.0	6.0	5.0
K10815	5.0	0.0	3.0	2.0	0.0	1.0
K10819	8.0	8.0	10.0	25.0	9.0	6.0
K10820	26.0	28.0	22.0	50.0	14.0	27.0
K10823	356.0	358.0	286.0	473.0	230.0	205.0
K10824	0.0	0.0	1.0	0.0	0.0	0.0
K10829	1.0	3.0	3.0	2.0	1.0	1.0
K10830	1.0	0.0	0.0	0.0	0.0	1.0
K10831	0.0	3.0	0.0	1.0	1.0	3.0
K10834	1.0	2.0	0.0	2.0	0.0	2.0
K10837	0.0	1.0	0.0	0.0	0.0	0.0
K10839	0.0	2.0	0.0	0.0	2.0	1.0
K10841	4.0	7.0	3.0	0.0	7.0	1.0
K10843	2.0	6.0	4.0	0.0	6.0	4.0
K10844	149.0	96.0	85.0	172.0	82.0	78.0
K10846	1.0	1.0	1.0	0.0	2.0	0.0
K10848	0.0	5.0	3.0	0.0	4.0	1.0
K10850	0.0	0.0	0.0	1.0	0.0	0.0
K10858	1.0	1.0	1.0	0.0	1.0	1.0
K10862	0.0	0.0	0.0	0.0	1.0	0.0
K10865	0.0	3.0	1.0	0.0	4.0	1.0
K10866	3.0	5.0	2.0	0.0	5.0	1.0
K10867	0.0	2.0	1.0	0.0	1.0	0.0
K10872	2.0	5.0	2.0	0.0	2.0	1.0
K10873	1.0	0.0	1.0	0.0	0.0	0.0
K10875	0.0	9.0	4.0	6.0	6.0	4.0
K10877	1.0	2.0	1.0	4.0	1.0	1.0
K10880	0.0	1.0	0.0	0.0	1.0	0.0
K10896	1.0	1.0	1.0	1.0	2.0	0.0
K10899	0.0	0.0	1.0	2.0	0.0	0.0
K10900	15.0	18.0	18.0	18.0	11.0	9.0
K10901	0.0	3.0	7.0	7.0	1.0	2.0
K10902	2.0	1.0	3.0	2.0	0.0	0.0
K10906	0.0	1.0	0.0	0.0	1.0	2.0
K10907	187.0	132.0	138.0	279.0	105.0	98.0
K10908	3.0	0.0	0.0	0.0	0.0	0.0
K10914	19.0	15.0	14.0	29.0	11.0	17.0
K10941	1.0	0.0	1.0	3.0	0.0	1.0
K10942	3.0	2.0	0.0	1.0	2.0	2.0
K10943	2.0	1.0	4.0	5.0	0.0	2.0
K10947	256.0	232.0	175.0	390.0	136.0	132.0
K10949	4.0	1.0	1.0	0.0	2.0	1.0
K10954	0.0	0.0	0.0	1.0	0.0	0.0
K10955	4.0	0.0	2.0	6.0	2.0	2.0
K10956	7.0	13.0	5.0	2.0	6.0	6.0
K10960	0.0	0.0	1.0	0.0	0.0	1.0
K10972	4.0	4.0	3.0	5.0	2.0	3.0
K10973	6.0	3.0	5.0	2.0	1.0	2.0
K10974	33.0	24.0	20.0	37.0	20.0	23.0
K10975	2.0	5.0	1.0	1.0	5.0	0.0
K10977	2.0	0.0	0.0	0.0	0.0	0.0
K10979	16.0	17.0	13.0	22.0	8.0	7.0
K10984	1.0	0.0	2.0	3.0	0.0	1.0
K10985	3.0	3.0	2.0	6.0	2.0	3.0
K10986	0.0	0.0	3.0	6.0	4.0	1.0
K11003	15.0	6.0	2.0	5.0	1.0	3.0
K11004	37.0	30.0	27.0	48.0	26.0	16.0
K11014	0.0	1.0	1.0	1.0	0.0	2.0
K11031	4.0	3.0	4.0	5.0	1.0	3.0
K11041	4.0	3.0	3.0	3.0	2.0	2.0
K11065	47.0	53.0	32.0	54.0	34.0	31.0
K11066	8.0	6.0	0.0	7.0	7.0	4.0
K11068	149.0	122.0	111.0	232.0	88.0	81.0
K11069	165.0	123.0	133.0	243.0	115.0	98.0
K11070	134.0	110.0	138.0	194.0	105.0	77.0
K11071	168.0	141.0	147.0	253.0	125.0	96.0
K11072	314.0	230.0	274.0	505.0	225.0	188.0
K11073	2.0	3.0	7.0	7.0	3.0	2.0
K11074	30.0	18.0	23.0	51.0	19.0	23.0
K11075	8.0	4.0	11.0	13.0	7.0	2.0
K11076	12.0	7.0	7.0	21.0	11.0	5.0
K11082	1.0	1.0	1.0	0.0	0.0	0.0
K11085	422.0	288.0	214.0	516.0	263.0	180.0
K11087	0.0	1.0	0.0	1.0	1.0	0.0
K11091	2.0	1.0	0.0	1.0	1.0	0.0
K11092	1.0	0.0	0.0	2.0	2.0	0.0
K11093	0.0	3.0	0.0	0.0	3.0	0.0
K11094	1.0	2.0	1.0	0.0	3.0	1.0
K11098	1.0	2.0	0.0	0.0	1.0	0.0
K11102	91.0	74.0	59.0	78.0	39.0	45.0
K11103	15.0	10.0	10.0	9.0	7.0	8.0
K11104	65.0	49.0	44.0	94.0	45.0	28.0
K11105	69.0	70.0	45.0	94.0	57.0	43.0
K11106	0.0	0.0	1.0	1.0	0.0	0.0
K11108	1.0	3.0	2.0	0.0	3.0	1.0
K11121	0.0	1.0	2.0	0.0	2.0	1.0
K11127	7.0	8.0	7.0	8.0	6.0	4.0
K11128	1.0	1.0	2.0	0.0	1.0	1.0
K11129	2.0	1.0	1.0	0.0	0.0	0.0
K11131	3.0	4.0	3.0	0.0	5.0	2.0
K11136	5.0	8.0	2.0	0.0	6.0	1.0
K11140	0.0	1.0	0.0	0.0	2.0	1.0
K11141	0.0	0.0	2.0	1.0	0.0	2.0
K11143	2.0	9.0	3.0	0.0	6.0	4.0
K11144	5.0	5.0	4.0	12.0	4.0	3.0
K11145	108.0	76.0	75.0	174.0	57.0	45.0
K11146	0.0	0.0	0.0	1.0	0.0	0.0
K11147	5.0	2.0	1.0	4.0	5.0	2.0
K11150	0.0	0.0	1.0	3.0	0.0	0.0
K11152	2.0	3.0	3.0	1.0	3.0	2.0
K11153	1.0	3.0	0.0	1.0	2.0	0.0
K11161	2.0	2.0	2.0	2.0	0.0	1.0
K11162	2.0	1.0	0.0	0.0	0.0	1.0
K11163	1.0	0.0	1.0	0.0	0.0	0.0
K11164	2.0	1.0	1.0	0.0	2.0	0.0
K11165	1.0	0.0	0.0	0.0	2.0	0.0
K11166	12.0	12.0	9.0	13.0	12.0	7.0
K11168	0.0	0.0	0.0	1.0	0.0	0.0
K11169	4.0	2.0	4.0	2.0	1.0	3.0
K11170	2.0	1.0	2.0	1.0	4.0	1.0
K11173	1.0	2.0	1.0	0.0	0.0	1.0
